indicator_code,indicator_name,date,value,frequency,month
GDP,国内生产总值,2025-09-01,1015036.0,q,
GDP,国内生产总值,2025-06-01,660536.0,q,
GDP,国内生产总值,2025-03-01,318758.0,q,
GDP,国内生产总值,2024-12-01,1349083.5,q,
GDP,国内生产总值,2024-09-01,949745.7,q,
GDP,国内生产总值,2024-06-01,616836.0,q,
GDP,国内生产总值,2024-03-01,296299.0,q,
GDP,国内生产总值,2023-12-01,1260582.1,q,
GDP,国内生产总值,2023-09-01,913027.0,q,
GDP,国内生产总值,2023-06-01,593034.2,q,
GDP,国内生产总值,2023-03-01,284996.6,q,
GDP,国内生产总值,2022-12-01,1210207.0,q,
GDP,国内生产总值,2022-09-01,870269.0,q,
GDP,国内生产总值,2022-06-01,562642.0,q,
GDP,国内生产总值,2022-03-01,270178.0,q,
GDP,国内生产总值,2021-12-01,1143670.0,q,
GDP,国内生产总值,2021-09-01,823131.0,q,
GDP,国内生产总值,2021-06-01,532167.0,q,
GDP,国内生产总值,2021-03-01,249310.0,q,
GDP,国内生产总值,2020-12-01,1015986.2,q,
GDP,国内生产总值,2020-09-01,722786.4,q,
GDP,国内生产总值,2020-06-01,456614.4,q,
GDP,国内生产总值,2020-03-01,206504.3,q,
GDP,国内生产总值,2019-12-01,990865.1,q,
GDP,国内生产总值,2019-09-01,712845.4,q,
GDP,国内生产总值,2019-06-01,460636.7,q,
GDP,国内生产总值,2019-03-01,218062.8,q,
GDP,国内生产总值,2018-12-01,900309.5,q,
GDP,国内生产总值,2018-09-01,646710.9,q,
GDP,国内生产总值,2018-06-01,417215.4,q,
GDP,国内生产总值,2018-03-01,197920.0,q,
GDP,国内生产总值,2017-12-01,820754.3,q,
GDP,国内生产总值,2017-09-01,588405.3,q,
GDP,国内生产总值,2017-06-01,378581.1,q,
GDP,国内生产总值,2017-03-01,179403.4,q,
GDP,国内生产总值,2016-12-01,740060.8,q,
GDP,国内生产总值,2016-09-01,530183.6,q,
GDP,国内生产总值,2016-06-01,340846.0,q,
GDP,国内生产总值,2016-03-01,160967.3,q,
GDP,国内生产总值,2015-12-01,685992.9,q,
GDP,国内生产总值,2015-09-01,494272.1,q,
GDP,国内生产总值,2015-06-01,318468.4,q,
GDP,国内生产总值,2015-03-01,150593.8,q,
GDP,国内生产总值,2014-12-01,641280.6,q,
GDP,国内生产总值,2014-09-01,461090.3,q,
GDP,国内生产总值,2014-06-01,296192.5,q,
GDP,国内生产总值,2014-03-01,140270.2,q,
GDP,国内生产总值,2013-12-01,592963.2,q,
GDP,国内生产总值,2013-09-01,425190.9,q,
GDP,国内生产总值,2013-06-01,272968.2,q,
GDP,国内生产总值,2013-03-01,129449.6,q,
GDP,国内生产总值,2012-12-01,538580.0,q,
GDP,国内生产总值,2012-09-01,386767.9,q,
GDP,国内生产总值,2012-06-01,248678.3,q,
GDP,国内生产总值,2012-03-01,117357.6,q,
GDP,国内生产总值,2011-12-01,472882.0,q,
GDP,国内生产总值,2011-09-01,321219.1,q,
GDP,国内生产总值,2011-06-01,205775.4,q,
GDP,国内生产总值,2011-03-01,97101.2,q,
GDP,国内生产总值,2010-12-01,401512.8,q,
GDP,国内生产总值,2010-09-01,272626.7,q,
GDP,国内生产总值,2010-06-01,174878.8,q,
GDP,国内生产总值,2010-03-01,82613.4,q,
GDP,国内生产总值,2009-12-01,340903.0,q,
GDP,国内生产总值,2009-09-01,231303.3,q,
GDP,国内生产总值,2009-06-01,148203.6,q,
GDP,国内生产总值,2009-03-01,69816.9,q,
GDP,国内生产总值,2008-12-01,314045.4,q,
