indicator_code,indicator_name,date,value,frequency
CPI,居民消费价格指数,2025-11-01,0.7,m
CPI,居民消费价格指数,2025-10-01,0.2,m
CPI,居民消费价格指数,2025-09-01,-0.3,m
CPI,居民消费价格指数,2025-08-01,-0.4,m
CPI,居民消费价格指数,2025-07-01,0.0,m
CPI,居民消费价格指数,2025-06-01,0.1,m
CPI,居民消费价格指数,2025-05-01,-0.1,m
CPI,居民消费价格指数,2025-04-01,-0.1,m
CPI,居民消费价格指数,2025-03-01,-0.1,m
CPI,居民消费价格指数,2025-02-01,-0.7,m
CPI,居民消费价格指数,2025-01-01,0.5,m
CPI,居民消费价格指数,2024-12-01,0.1,m
CPI,居民消费价格指数,2024-11-01,0.2,m
CPI,居民消费价格指数,2024-10-01,0.3,m
CPI,居民消费价格指数,2024-09-01,0.4,m
CPI,居民消费价格指数,2024-08-01,0.6,m
CPI,居民消费价格指数,2024-07-01,0.5,m
CPI,居民消费价格指数,2024-06-01,0.2,m
CPI,居民消费价格指数,2024-05-01,0.3,m
CPI,居民消费价格指数,2024-04-01,0.3,m
CPI,居民消费价格指数,2024-03-01,0.1,m
CPI,居民消费价格指数,2024-02-01,0.7,m
CPI,居民消费价格指数,2024-01-01,-0.8,m
CPI,居民消费价格指数,2023-12-01,-0.3,m
CPI,居民消费价格指数,2023-11-01,-0.5,m
CPI,居民消费价格指数,2023-10-01,-0.2,m
CPI,居民消费价格指数,2023-09-01,0.0,m
CPI,居民消费价格指数,2023-08-01,0.1,m
CPI,居民消费价格指数,2023-07-01,-0.3,m
CPI,居民消费价格指数,2023-06-01,0.0,m
CPI,居民消费价格指数,2023-05-01,0.2,m
CPI,居民消费价格指数,2023-04-01,0.1,m
CPI,居民消费价格指数,2023-03-01,0.7,m
CPI,居民消费价格指数,2023-02-01,1.0,m
CPI,居民消费价格指数,2023-01-01,2.1,m
CPI,居民消费价格指数,2022-12-01,1.8,m
CPI,居民消费价格指数,2022-11-01,1.6,m
CPI,居民消费价格指数,2022-10-01,2.1,m
CPI,居民消费价格指数,2022-09-01,2.8,m
CPI,居民消费价格指数,2022-08-01,2.5,m
CPI,居民消费价格指数,2022-07-01,2.7,m
CPI,居民消费价格指数,2022-06-01,2.5,m
CPI,居民消费价格指数,2022-05-01,2.1,m
CPI,居民消费价格指数,2022-04-01,2.1,m
CPI,居民消费价格指数,2022-03-01,1.5,m
CPI,居民消费价格指数,2022-02-01,0.9,m
CPI,居民消费价格指数,2022-01-01,0.9,m
CPI,居民消费价格指数,2021-12-01,1.5,m
CPI,居民消费价格指数,2021-11-01,2.3,m
CPI,居民消费价格指数,2021-10-01,1.5,m
CPI,居民消费价格指数,2021-09-01,0.7,m
