date,value,indicator_code,indicator_name,frequency
1978-01-01,229.59,M0,M0货币供应量,m
1978-01-01,870.53,M1,M1货币供应量,m
1978-02-01,833.35,M1,M1货币供应量,m
1978-02-01,205.89,M0,M0货币供应量,m
1978-03-01,827.83,M1,M1货币供应量,m
1978-03-01,194.86,M0,M0货币供应量,m
1978-04-01,192.63,M0,M0货币供应量,m
1978-04-01,808.17,M1,M1货币供应量,m
1978-05-01,757.93,M1,M1货币供应量,m
1978-05-01,182.17,M0,M0货币供应量,m
1978-06-01,745.08,M1,M1货币供应量,m
1978-06-01,178.46,M0,M0货币供应量,m
1978-07-01,746.43,M1,M1货币供应量,m
1978-07-01,181.02,M0,M0货币供应量,m
1978-08-01,755.99,M1,M1货币供应量,m
1978-08-01,182.12,M0,M0货币供应量,m
1978-09-01,763.47,M1,M1货币供应量,m
1978-09-01,188.27,M0,M0货币供应量,m
1978-10-01,185.24,M0,M0货币供应量,m
1978-10-01,778.64,M1,M1货币供应量,m
1978-11-01,190.54,M0,M0货币供应量,m
1978-11-01,808.27,M1,M1货币供应量,m
1978-12-01,859.45,M1,M1货币供应量,m
1978-12-01,212.03,M0,M0货币供应量,m
1979-01-01,851.39,M1,M1货币供应量,m
1979-01-01,257.22,M0,M0货币供应量,m
1979-02-01,228.36,M0,M0货币供应量,m
1979-02-01,823.0,M1,M1货币供应量,m
1979-03-01,219.02,M0,M0货币供应量,m
1979-03-01,833.24,M1,M1货币供应量,m
1979-04-01,835.08,M1,M1货币供应量,m
1979-04-01,217.33,M0,M0货币供应量,m
1979-05-01,809.14,M1,M1货币供应量,m
1979-05-01,209.0,M0,M0货币供应量,m
1979-06-01,208.71,M0,M0货币供应量,m
1979-06-01,814.67,M1,M1货币供应量,m
1979-07-01,831.28,M1,M1货币供应量,m
1979-07-01,212.96,M0,M0货币供应量,m
1979-08-01,849.58,M1,M1货币供应量,m
1979-08-01,215.35,M0,M0货币供应量,m
1979-09-01,871.19,M1,M1货币供应量,m
1979-09-01,225.57,M0,M0货币供应量,m
1979-10-01,220.9,M0,M0货币供应量,m
1979-10-01,895.32,M1,M1货币供应量,m
1979-11-01,235.13,M0,M0货币供应量,m
1979-11-01,955.66,M1,M1货币供应量,m
1979-12-01,1069.36,M1,M1货币供应量,m
1979-12-01,267.71,M0,M0货币供应量,m
1980-01-01,1031.89,M1,M1货币供应量,m
