date,value,indicator_code,indicator_name,frequency
2014-01-01,235.288,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-02-01,235.547,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-03-01,236.028,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-04-01,236.468,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-05-01,236.918,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-06-01,237.231,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-07-01,237.498,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-08-01,237.46,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-09-01,237.477,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-10-01,237.43,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-11-01,236.983,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-12-01,236.252,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-01-01,234.747,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-02-01,235.342,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-03-01,235.976,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-04-01,236.222,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-05-01,237.001,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-06-01,237.657,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-07-01,238.034,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-08-01,238.033,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-09-01,237.498,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-10-01,237.733,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-11-01,238.017,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-12-01,237.761,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-01-01,237.652,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-02-01,237.336,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-03-01,238.08,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-04-01,238.992,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-05-01,239.557,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-06-01,240.222,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-07-01,240.101,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-08-01,240.545,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-09-01,241.176,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-10-01,241.741,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-11-01,242.026,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2016-12-01,242.637,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-01-01,243.618,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-02-01,244.006,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-03-01,243.892,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-04-01,244.193,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-05-01,244.004,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-06-01,244.163,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-07-01,244.243,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-08-01,245.183,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-09-01,246.435,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-10-01,246.626,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-11-01,247.284,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2017-12-01,247.805,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-01-01,248.859,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-02-01,249.529,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-03-01,249.577,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-04-01,250.227,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-05-01,250.792,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-06-01,251.018,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-07-01,251.214,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-08-01,251.663,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-09-01,252.182,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-10-01,252.772,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-11-01,252.594,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2018-12-01,252.767,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-01-01,252.561,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-02-01,253.319,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-03-01,254.277,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-04-01,255.233,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-05-01,255.296,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-06-01,255.213,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-07-01,255.802,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-08-01,256.036,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-09-01,256.43,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-10-01,257.155,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-11-01,257.879,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2019-12-01,258.63,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-01-01,259.127,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-02-01,259.25,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-03-01,258.076,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-04-01,256.032,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-05-01,255.802,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-06-01,257.042,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-07-01,258.352,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-08-01,259.316,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-09-01,259.997,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-10-01,260.319,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-11-01,260.911,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2020-12-01,262.045,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-01-01,262.639,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-02-01,263.573,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-03-01,264.847,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-04-01,266.625,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-05-01,268.404,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-06-01,270.71,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-07-01,271.965,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-08-01,272.752,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-09-01,273.942,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-10-01,276.528,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-11-01,278.824,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2021-12-01,280.806,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-01-01,282.542,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-02-01,284.525,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-03-01,287.467,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-04-01,288.582,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-05-01,291.299,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-06-01,295.072,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-07-01,294.94,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-08-01,295.162,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-09-01,296.421,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-10-01,297.979,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-11-01,298.708,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2022-12-01,298.808,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-01-01,300.456,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-02-01,301.476,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-03-01,301.643,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-04-01,302.858,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-05-01,303.316,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-06-01,304.099,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-07-01,304.615,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-08-01,306.138,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-09-01,307.374,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-10-01,307.653,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-11-01,308.087,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2023-12-01,308.735,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-01-01,309.794,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-02-01,311.022,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-03-01,312.107,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-04-01,313.016,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-05-01,313.14,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-06-01,313.131,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-07-01,313.566,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-08-01,314.131,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-09-01,314.851,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-10-01,315.564,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-11-01,316.449,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2024-12-01,317.603,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-01-01,319.086,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-02-01,319.775,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-03-01,319.615,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-04-01,320.321,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-05-01,320.58,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-06-01,321.5,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-07-01,322.132,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-08-01,323.364,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-09-01,324.368,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-10-01,,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2025-11-01,325.031,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
