date,value,indicator_code,indicator_name,frequency
2014-01-01,2.86,GS10,GS10,m
2014-02-01,2.71,GS10,GS10,m
2014-03-01,2.72,GS10,GS10,m
2014-04-01,2.71,GS10,GS10,m
2014-05-01,2.56,GS10,GS10,m
2014-06-01,2.6,GS10,GS10,m
2014-07-01,2.54,GS10,GS10,m
2014-08-01,2.42,GS10,GS10,m
2014-09-01,2.53,GS10,GS10,m
2014-10-01,2.3,GS10,GS10,m
2014-11-01,2.33,GS10,GS10,m
2014-12-01,2.21,GS10,GS10,m
2015-01-01,1.88,GS10,GS10,m
2015-02-01,1.98,GS10,GS10,m
2015-03-01,2.04,GS10,GS10,m
2015-04-01,1.94,GS10,GS10,m
2015-05-01,2.2,GS10,GS10,m
2015-06-01,2.36,GS10,GS10,m
2015-07-01,2.32,GS10,GS10,m
2015-08-01,2.17,GS10,GS10,m
2015-09-01,2.17,GS10,GS10,m
2015-10-01,2.07,GS10,GS10,m
2015-11-01,2.26,GS10,GS10,m
2015-12-01,2.24,GS10,GS10,m
2016-01-01,2.09,GS10,GS10,m
2016-02-01,1.78,GS10,GS10,m
2016-03-01,1.89,GS10,GS10,m
2016-04-01,1.81,GS10,GS10,m
2016-05-01,1.81,GS10,GS10,m
2016-06-01,1.64,GS10,GS10,m
2016-07-01,1.5,GS10,GS10,m
2016-08-01,1.56,GS10,GS10,m
2016-09-01,1.63,GS10,GS10,m
2016-10-01,1.76,GS10,GS10,m
2016-11-01,2.14,GS10,GS10,m
2016-12-01,2.49,GS10,GS10,m
2017-01-01,2.43,GS10,GS10,m
2017-02-01,2.42,GS10,GS10,m
2017-03-01,2.48,GS10,GS10,m
2017-04-01,2.3,GS10,GS10,m
2017-05-01,2.3,GS10,GS10,m
2017-06-01,2.19,GS10,GS10,m
2017-07-01,2.32,GS10,GS10,m
2017-08-01,2.21,GS10,GS10,m
2017-09-01,2.2,GS10,GS10,m
2017-10-01,2.36,GS10,GS10,m
2017-11-01,2.35,GS10,GS10,m
2017-12-01,2.4,GS10,GS10,m
2018-01-01,2.58,GS10,GS10,m
2018-02-01,2.86,GS10,GS10,m
2018-03-01,2.84,GS10,GS10,m
2018-04-01,2.87,GS10,GS10,m
2018-05-01,2.98,GS10,GS10,m
2018-06-01,2.91,GS10,GS10,m
2018-07-01,2.89,GS10,GS10,m
2018-08-01,2.89,GS10,GS10,m
2018-09-01,3.0,GS10,GS10,m
2018-10-01,3.15,GS10,GS10,m
2018-11-01,3.12,GS10,GS10,m
2018-12-01,2.83,GS10,GS10,m
2019-01-01,2.71,GS10,GS10,m
2019-02-01,2.68,GS10,GS10,m
2019-03-01,2.57,GS10,GS10,m
2019-04-01,2.53,GS10,GS10,m
2019-05-01,2.4,GS10,GS10,m
2019-06-01,2.07,GS10,GS10,m
2019-07-01,2.06,GS10,GS10,m
2019-08-01,1.63,GS10,GS10,m
2019-09-01,1.7,GS10,GS10,m
2019-10-01,1.71,GS10,GS10,m
2019-11-01,1.81,GS10,GS10,m
2019-12-01,1.86,GS10,GS10,m
2020-01-01,1.76,GS10,GS10,m
2020-02-01,1.5,GS10,GS10,m
2020-03-01,0.87,GS10,GS10,m
2020-04-01,0.66,GS10,GS10,m
2020-05-01,0.67,GS10,GS10,m
2020-06-01,0.73,GS10,GS10,m
2020-07-01,0.62,GS10,GS10,m
2020-08-01,0.65,GS10,GS10,m
2020-09-01,0.68,GS10,GS10,m
2020-10-01,0.79,GS10,GS10,m
2020-11-01,0.87,GS10,GS10,m
2020-12-01,0.93,GS10,GS10,m
2021-01-01,1.08,GS10,GS10,m
2021-02-01,1.26,GS10,GS10,m
2021-03-01,1.61,GS10,GS10,m
2021-04-01,1.64,GS10,GS10,m
2021-05-01,1.62,GS10,GS10,m
2021-06-01,1.52,GS10,GS10,m
2021-07-01,1.32,GS10,GS10,m
2021-08-01,1.28,GS10,GS10,m
2021-09-01,1.37,GS10,GS10,m
2021-10-01,1.58,GS10,GS10,m
2021-11-01,1.56,GS10,GS10,m
2021-12-01,1.47,GS10,GS10,m
2022-01-01,1.76,GS10,GS10,m
2022-02-01,1.93,GS10,GS10,m
2022-03-01,2.13,GS10,GS10,m
2022-04-01,2.75,GS10,GS10,m
2022-05-01,2.9,GS10,GS10,m
2022-06-01,3.14,GS10,GS10,m
2022-07-01,2.9,GS10,GS10,m
2022-08-01,2.9,GS10,GS10,m
2022-09-01,3.52,GS10,GS10,m
2022-10-01,3.98,GS10,GS10,m
2022-11-01,3.89,GS10,GS10,m
2022-12-01,3.62,GS10,GS10,m
2023-01-01,3.53,GS10,GS10,m
2023-02-01,3.75,GS10,GS10,m
