date,value,indicator_code,indicator_name,frequency
2014-01-01,100.1599,INDPRO,Industrial Production Index,m
2014-02-01,100.9168,INDPRO,Industrial Production Index,m
2014-03-01,101.8942,INDPRO,Industrial Production Index,m
2014-04-01,101.9928,INDPRO,Industrial Production Index,m
2014-05-01,102.3836,INDPRO,Industrial Production Index,m
2014-06-01,102.735,INDPRO,Industrial Production Index,m
2014-07-01,102.9632,INDPRO,Industrial Production Index,m
2014-08-01,102.7688,INDPRO,Industrial Production Index,m
2014-09-01,103.0641,INDPRO,Industrial Production Index,m
2014-10-01,103.0764,INDPRO,Industrial Production Index,m
2014-11-01,103.7126,INDPRO,Industrial Production Index,m
2014-12-01,103.7044,INDPRO,Industrial Production Index,m
2015-01-01,102.8905,INDPRO,Industrial Production Index,m
2015-02-01,102.2335,INDPRO,Industrial Production Index,m
2015-03-01,101.8914,INDPRO,Industrial Production Index,m
2015-04-01,101.3355,INDPRO,Industrial Production Index,m
2015-05-01,100.8883,INDPRO,Industrial Production Index,m
2015-06-01,100.571,INDPRO,Industrial Production Index,m
2015-07-01,101.2228,INDPRO,Industrial Production Index,m
2015-08-01,101.0367,INDPRO,Industrial Production Index,m
2015-09-01,100.7547,INDPRO,Industrial Production Index,m
2015-10-01,100.2675,INDPRO,Industrial Production Index,m
2015-11-01,99.5298,INDPRO,Industrial Production Index,m
2015-12-01,99.0417,INDPRO,Industrial Production Index,m
2016-01-01,99.5607,INDPRO,Industrial Production Index,m
2016-02-01,99.0445,INDPRO,Industrial Production Index,m
2016-03-01,98.3096,INDPRO,Industrial Production Index,m
2016-04-01,98.6421,INDPRO,Industrial Production Index,m
2016-05-01,98.4184,INDPRO,Industrial Production Index,m
2016-06-01,98.8833,INDPRO,Industrial Production Index,m
2016-07-01,98.9992,INDPRO,Industrial Production Index,m
2016-08-01,98.85,INDPRO,Industrial Production Index,m
2016-09-01,98.7457,INDPRO,Industrial Production Index,m
2016-10-01,98.7611,INDPRO,Industrial Production Index,m
2016-11-01,98.3491,INDPRO,Industrial Production Index,m
2016-12-01,99.0214,INDPRO,Industrial Production Index,m
2017-01-01,98.7611,INDPRO,Industrial Production Index,m
2017-02-01,98.3646,INDPRO,Industrial Production Index,m
2017-03-01,99.0137,INDPRO,Industrial Production Index,m
2017-04-01,100.0224,INDPRO,Industrial Production Index,m
2017-05-01,100.1408,INDPRO,Industrial Production Index,m
2017-06-01,100.3471,INDPRO,Industrial Production Index,m
2017-07-01,100.1068,INDPRO,Industrial Production Index,m
2017-08-01,99.6925,INDPRO,Industrial Production Index,m
2017-09-01,99.7954,INDPRO,Industrial Production Index,m
2017-10-01,101.0247,INDPRO,Industrial Production Index,m
2017-11-01,101.2664,INDPRO,Industrial Production Index,m
2017-12-01,101.4644,INDPRO,Industrial Production Index,m
2018-01-01,101.4625,INDPRO,Industrial Production Index,m
2018-02-01,101.7085,INDPRO,Industrial Production Index,m
2018-03-01,102.2067,INDPRO,Industrial Production Index,m
2018-04-01,103.3329,INDPRO,Industrial Production Index,m
2018-05-01,102.4024,INDPRO,Industrial Production Index,m
2018-06-01,103.198,INDPRO,Industrial Production Index,m
2018-07-01,103.3646,INDPRO,Industrial Production Index,m
2018-08-01,104.0327,INDPRO,Industrial Production Index,m
2018-09-01,104.1004,INDPRO,Industrial Production Index,m
2018-10-01,103.9856,INDPRO,Industrial Production Index,m
2018-11-01,104.0681,INDPRO,Industrial Production Index,m
2018-12-01,104.0936,INDPRO,Industrial Production Index,m
2019-01-01,103.4021,INDPRO,Industrial Production Index,m
2019-02-01,102.8371,INDPRO,Industrial Production Index,m
2019-03-01,102.8757,INDPRO,Industrial Production Index,m
2019-04-01,102.274,INDPRO,Industrial Production Index,m
2019-05-01,102.392,INDPRO,Industrial Production Index,m
2019-06-01,102.4375,INDPRO,Industrial Production Index,m
2019-07-01,101.9408,INDPRO,Industrial Production Index,m
2019-08-01,102.639,INDPRO,Industrial Production Index,m
2019-09-01,102.2917,INDPRO,Industrial Production Index,m
2019-10-01,101.4281,INDPRO,Industrial Production Index,m
2019-11-01,101.9372,INDPRO,Industrial Production Index,m
2019-12-01,101.7003,INDPRO,Industrial Production Index,m
2020-01-01,101.0338,INDPRO,Industrial Production Index,m
2020-02-01,101.3735,INDPRO,Industrial Production Index,m
2020-03-01,97.4078,INDPRO,Industrial Production Index,m
2020-04-01,84.5619,INDPRO,Industrial Production Index,m
2020-05-01,85.9604,INDPRO,Industrial Production Index,m
2020-06-01,91.5934,INDPRO,Industrial Production Index,m
2020-07-01,95.0256,INDPRO,Industrial Production Index,m
2020-08-01,95.9549,INDPRO,Industrial Production Index,m
2020-09-01,95.9669,INDPRO,Industrial Production Index,m
2020-10-01,96.7394,INDPRO,Industrial Production Index,m
2020-11-01,97.0816,INDPRO,Industrial Production Index,m
2020-12-01,98.363,INDPRO,Industrial Production Index,m
2021-01-01,98.8822,INDPRO,Industrial Production Index,m
2021-02-01,95.6149,INDPRO,Industrial Production Index,m
2021-03-01,98.3856,INDPRO,Industrial Production Index,m
2021-04-01,98.5587,INDPRO,Industrial Production Index,m
2021-05-01,99.4333,INDPRO,Industrial Production Index,m
2021-06-01,99.7987,INDPRO,Industrial Production Index,m
2021-07-01,100.2519,INDPRO,Industrial Production Index,m
2021-08-01,100.0437,INDPRO,Industrial Production Index,m
2021-09-01,98.8579,INDPRO,Industrial Production Index,m
2021-10-01,100.1861,INDPRO,Industrial Production Index,m
2021-11-01,100.8654,INDPRO,Industrial Production Index,m
2021-12-01,100.5726,INDPRO,Industrial Production Index,m
2022-01-01,100.1856,INDPRO,Industrial Production Index,m
2022-02-01,100.8064,INDPRO,Industrial Production Index,m
2022-03-01,101.3907,INDPRO,Industrial Production Index,m
2022-04-01,101.44,INDPRO,Industrial Production Index,m
2022-05-01,101.3335,INDPRO,Industrial Production Index,m
2022-06-01,101.018,INDPRO,Industrial Production Index,m
2022-07-01,101.223,INDPRO,Industrial Production Index,m
2022-08-01,101.0963,INDPRO,Industrial Production Index,m
2022-09-01,101.2918,INDPRO,Industrial Production Index,m
2022-10-01,101.2529,INDPRO,Industrial Production Index,m
2022-11-01,100.9552,INDPRO,Industrial Production Index,m
2022-12-01,99.7664,INDPRO,Industrial Production Index,m
2023-01-01,100.505,INDPRO,Industrial Production Index,m
2023-02-01,100.6416,INDPRO,Industrial Production Index,m
2023-03-01,101.0205,INDPRO,Industrial Production Index,m
2023-04-01,101.253,INDPRO,Industrial Production Index,m
2023-05-01,100.9286,INDPRO,Industrial Production Index,m
2023-06-01,100.1196,INDPRO,Industrial Production Index,m
2023-07-01,100.9067,INDPRO,Industrial Production Index,m
2023-08-01,100.8393,INDPRO,Industrial Production Index,m
2023-09-01,101.0211,INDPRO,Industrial Production Index,m
2023-10-01,100.4689,INDPRO,Industrial Production Index,m
2023-11-01,100.8639,INDPRO,Industrial Production Index,m
2023-12-01,100.6031,INDPRO,Industrial Production Index,m
2024-01-01,99.2223,INDPRO,Industrial Production Index,m
2024-02-01,100.285,INDPRO,Industrial Production Index,m
2024-03-01,100.4575,INDPRO,Industrial Production Index,m
2024-04-01,100.2434,INDPRO,Industrial Production Index,m
2024-05-01,100.863,INDPRO,Industrial Production Index,m
2024-06-01,100.894,INDPRO,Industrial Production Index,m
2024-07-01,99.9757,INDPRO,Industrial Production Index,m
2024-08-01,100.4309,INDPRO,Industrial Production Index,m
2024-09-01,99.8084,INDPRO,Industrial Production Index,m
2024-10-01,99.4695,INDPRO,Industrial Production Index,m
2024-11-01,99.2925,INDPRO,Industrial Production Index,m
2024-12-01,100.3273,INDPRO,Industrial Production Index,m
2025-01-01,100.0647,INDPRO,Industrial Production Index,m
2025-02-01,101.0993,INDPRO,Industrial Production Index,m
2025-03-01,101.0404,INDPRO,Industrial Production Index,m
2025-04-01,101.1279,INDPRO,Industrial Production Index,m
2025-05-01,100.9655,INDPRO,Industrial Production Index,m
2025-06-01,101.4785,INDPRO,Industrial Production Index,m
2025-07-01,101.8738,INDPRO,Industrial Production Index,m
2025-08-01,101.6019,INDPRO,Industrial Production Index,m
2025-09-01,101.6729,INDPRO,Industrial Production Index,m
2025-10-01,101.616,INDPRO,Industrial Production Index,m
2025-11-01,101.7935,INDPRO,Industrial Production Index,m
