date,value,indicator_code,indicator_name,frequency
2014-01-01,366684,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-02-01,371335,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-03-01,375285,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-04-01,379432,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-05-01,379787,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-06-01,380618,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-07-01,381045,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-08-01,384017,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-09-01,382277,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-10-01,383323,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-11-01,384459,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2014-12-01,380682,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-01-01,378518,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-02-01,377594,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-03-01,383681,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-04-01,383893,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-05-01,387155,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-06-01,387199,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-07-01,390953,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-08-01,390570,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-09-01,388551,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-10-01,387066,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-11-01,388530,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2015-12-01,389551,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2016-01-01,387483,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2016-02-01,390029,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2016-03-01,388998,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2016-04-01,391112,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2016-05-01,392299,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
