date,M0,M1
1951-12-01,229.59,870.53
1952-12-01,229.59,870.53
1953-12-01,229.59,870.53
1954-12-01,229.59,870.53
1955-12-01,229.59,870.53
1956-12-01,229.59,870.53
1957-12-01,229.59,870.53
1958-12-01,229.59,870.53
1959-12-01,229.59,870.53
1960-12-01,229.59,870.53
1961-12-01,229.59,870.53
1962-12-01,229.59,870.53
1963-12-01,229.59,870.53
1964-12-01,229.59,870.53
1965-12-01,229.59,870.53
1966-12-01,229.59,870.53
1967-12-01,229.59,870.53
1968-12-01,229.59,870.53
1969-12-01,229.59,870.53
1970-12-01,229.59,870.53
1971-12-01,229.59,870.53
1972-12-01,229.59,870.53
1973-12-01,229.59,870.53
1974-12-01,229.59,870.53
1975-12-01,229.59,870.53
1976-12-01,229.59,870.53
1977-12-01,229.59,870.53
1978-01-01,229.59,870.53
1978-02-01,205.89,833.35
1978-03-01,194.86,827.83
1978-04-01,192.63,808.17
1978-05-01,182.17,757.93
1978-06-01,178.46,745.08
1978-07-01,181.02,746.43
1978-08-01,182.12,755.99
1978-09-01,188.27,763.47
1978-10-01,185.24,778.64
1978-11-01,190.54,808.27
1978-12-01,212.03,859.45
1979-01-01,257.22,851.39
1979-02-01,228.36,823.0
1979-03-01,219.02,833.24
1979-04-01,217.33,835.08
1979-05-01,209.0,809.14
1979-06-01,208.71,814.67
1979-07-01,212.96,831.28
1979-08-01,215.35,849.58
1979-09-01,225.57,871.19
1979-10-01,220.9,895.32
1979-11-01,235.13,955.66
1979-12-01,267.71,1069.36
1980-01-01,300.41,1031.89
1980-02-01,279.18,975.8
1980-03-01,261.49,963.91
1980-04-01,254.07,954.89
1980-05-01,243.13,957.2
1980-06-01,243.3,983.04
1980-07-01,251.71,1012.49
1980-08-01,259.97,1043.81
1980-09-01,274.35,1081.75
1980-10-01,285.84,1133.15
1980-11-01,309.0,1206.27
1980-12-01,346.2,1315.74
1981-01-01,415.03,1370.5
1981-02-01,349.86,1309.39
1981-03-01,325.62,1289.05
1981-04-01,318.04,1267.41
1981-05-01,306.44,1268.12
1981-06-01,306.38,1297.76
1981-07-01,315.46,1320.01
1981-08-01,320.16,1356.45
1981-09-01,333.15,1393.37
1981-10-01,345.23,1250.32
1981-11-01,359.85,1580.86
1981-12-01,396.34,1636.56
1982-01-01,443.01,1638.32
1982-02-01,402.92,1578.76
1982-03-01,377.87,1569.69
1982-04-01,367.33,1552.52
