date,CPI_YOY,M0,M1,M2
1951-12-01,12.5,229.59,870.53,15293.4
1952-12-01,2.7,229.59,870.53,15293.4
1953-12-01,5.1,229.59,870.53,15293.4
1954-12-01,1.4,229.59,870.53,15293.4
1955-12-01,0.3,229.59,870.53,15293.4
1956-12-01,-0.1,229.59,870.53,15293.4
1957-12-01,2.6,229.59,870.53,15293.4
1958-12-01,-1.1,229.59,870.53,15293.4
1959-12-01,0.3,229.59,870.53,15293.4
1960-12-01,2.5,229.59,870.53,15293.4
1961-12-01,16.1,229.59,870.53,15293.4
1962-12-01,3.8,229.59,870.53,15293.4
1963-12-01,-5.9,229.59,870.53,15293.4
1964-12-01,-3.7,229.59,870.53,15293.4
1965-12-01,-1.2,229.59,870.53,15293.4
1966-12-01,-1.2,229.59,870.53,15293.4
1967-12-01,-0.6,229.59,870.53,15293.4
1968-12-01,0.1,229.59,870.53,15293.4
1969-12-01,1.0,229.59,870.53,15293.4
1970-12-01,0.0,229.59,870.53,15293.4
1971-12-01,-0.1,229.59,870.53,15293.4
1972-12-01,0.2,229.59,870.53,15293.4
1973-12-01,0.1,229.59,870.53,15293.4
1974-12-01,0.7,229.59,870.53,15293.4
1975-12-01,0.4,229.59,870.53,15293.4
1976-12-01,0.3,229.59,870.53,15293.4
1977-12-01,2.7,229.59,870.53,15293.4
1978-01-01,2.7,229.59,870.53,15293.4
1978-02-01,2.7,205.89,833.35,15293.4
1978-03-01,2.7,194.86,827.83,15293.4
1978-04-01,2.7,192.63,808.17,15293.4
1978-05-01,2.7,182.17,757.93,15293.4
1978-06-01,2.7,178.46,745.08,15293.4
1978-07-01,2.7,181.02,746.43,15293.4
1978-08-01,2.7,182.12,755.99,15293.4
1978-09-01,2.7,188.27,763.47,15293.4
1978-10-01,2.7,185.24,778.64,15293.4
1978-11-01,2.7,190.54,808.27,15293.4
1978-12-01,0.7,212.03,859.45,15293.4
1979-01-01,0.7,257.22,851.39,15293.4
1979-02-01,0.7,228.36,823.0,15293.4
1979-03-01,0.7,219.02,833.24,15293.4
1979-04-01,0.7,217.33,835.08,15293.4
1979-05-01,0.7,209.0,809.14,15293.4
1979-06-01,0.7,208.71,814.67,15293.4
1979-07-01,0.7,212.96,831.28,15293.4
1979-08-01,0.7,215.35,849.58,15293.4
1979-09-01,0.7,225.57,871.19,15293.4
