month,rq,distance,pace,heart_rate,cadence
2020-11,36.3,38.9,6:08,154,179
2020-12,35.1,114.0,7:04,147,175
2021-01,34.6,50.5,7:00,145,170
2021-02,35.6,50,6:58,146,164
2021-03,38.1,38.2,6:50,143,163
2021-04,37.9,51.8,6:39,149,171
2021-05,37.1,36.3,6:53,144,171
2021-06,36.6,44.1,6:56,146,166
2021-07,36.2,73,7:51,137,165
2021-08,36.3,70.1,7:24,139,172
2021-09,36.3,72.1,7:38,141,176
2021-10,36.7,72,6:32,155,181
2021-11,37.2,36.5,6:35,147,182
2021-12,35,33.7,7:31,144,177
2022-01,31.1,42.2,8:42,137,163
2022-02,32.7,58.7,7:51,145,175
2022-03,32.1,48.2,9:01,136,163
2022-04,32.8,60.4,7:13,148,179
2022-05,32.7,73.4,7:11,148,178
2022-06,33.5,67.5,7:51,141,175
2022-07,36.1,47,7:33,137,173
2022-08,36.3,28,7:03,144,179
2022-09,36.1,73,6:52,149,183
2022-10,35.3,52.2,7:27,142,180
2022-11,35.6,40.7,7:06,147,182
2022-12,34.8,15.1,7:02,140,174
2023-01,32.2,16.7,7:06,140,174
2023-02,32.7,17.8,7:40,143,175
2023-03,33.6,49.9,7:39,146,175
2023-04,33.2,57,7:14,148,183
2023-05,34.1,57.7,6:55,148,179
2023-06,35.9,106.5,7:59,136,171
2023-07,38.1,133.3,6:36,145,181
2023-08,39.9,173,6:32,140,182
2023-09,41.2,168.2,6:46,140,179
2023-10,42.2,187.3,6:10,144,186
2023-11,43.2,259.3,6:08,142,185
2023-12,43.4,236.7,6:27,137,181
2024-01,44.5,215.3,6:17,142,181
2024-02,45.3,229.9,6:14,141,178
2024-03,46.2,267,6:01,143,182
2024-04,47.3,254,5:52,140,182
2024-05,49.2,297.1,5:47,138,182
2024-06,50.6,290.7,5:35,138,180
2024-07,51.6,290.5,5:46,136,179
2024-08,51.5,336.7,5:42,137,180
2024-09,51.5,304.6,5:19,141,184
2024-10,51.7,307,5:33,140,179
2024-11,51.1,264.8,5:26,142,183
2024-12,50.6,268.6,5:48,138,179
