+-----+-----------------------+---------+-------+------------+-------------+-------------+---------------+----------+--------+--------+---------+----------+------+-------------+
| No. |       Shoe Name       | Used KM | Price | Unit Price | Marginal KM | Total KM(E) | Unit Price(E) | Progress | 30d KM | 90d KM | 90d RUN | KM/month |  DP  | Forecast KM |
+-----+-----------------------+---------+-------+------------+-------------+-------------+---------------+----------+--------+--------+---------+----------+------+-------------+
|  1  |   乔丹 强风SE 秋冬版  |   99.3  |  309  |    3.11    |     3.3     |     508     |      0.61     |   0.2    | 99.33  | 99.33  |    12   |  141.86  | 496  |     99.3    |
|  2  |      乔丹 强风SE      |  547.1  |  339  |    0.62    |    105.29   |     534     |      0.63     |   1.02   | 55.74  | 144.82 |    5    |  78.95   | 1738 |     80.8    |
|  3  |   Saucony Kinvara 11  |  640.1  |  569  |    0.89    |    81.14    |     705     |      0.81     |   0.91   | 16.83  | 43.24  |    3    |  22.59   | 1024 |     30.8    |
|  4  |     李宁 赤兔6 PRO    |   96.8  |  250  |    2.58    |     3.9     |     452     |      0.55     |   0.21   | 25.08  |  55.6  |    4    |  38.26   | 371  |     25.1    |
|  5  |   Saucony Triumph 18  |  697.8  |  739  |    1.06    |    72.76    |     811     |      0.91     |   0.86   | 21.52  | 21.52  |    3    |  18.21   | 979  |     19.9    |
|  6  | 李宁 飞电3 Challenger |  113.4  |  409  |    3.61    |     3.23    |     591     |      0.69     |   0.19   |  8.08  | 32.14  |    2    |   18.2   | 318  |     10.6    |
|  7  |     安踏 柏油路霸     |   98.6  |  299  |    3.03    |     3.36    |     499     |      0.6      |   0.2    |   0    |   0    |    0    |   3.79   | 112  |     10.5    |
|  8  |    乔丹 飞影PB 2.0    |   90.9  |  339  |    3.73    |     2.5     |     534     |      0.63     |   0.17   |  9.54  | 90.87  |    2    |  44.78   | 373  |     9.5     |
|  9  |       李宁 越影       |   50.7  |  199  |    3.93    |     1.33    |     398     |      0.5      |   0.13   |   0    |   0    |    0    |   5.74   | 109  |     9.0     |
|  10 |    HOKA Speedgoat 5   |   10.8  |  758  |   70.19    |     0.02    |     822     |      0.92     |   0.01   |   0    |  8.02  |    1    |   1.08   |  37  |     8.0     |
|  11 |      361度 赤焰3      |   1.0   |  249  |   249.0    |     0.0     |     451     |      0.55     |   0.0    |  1.0   |  1.0   |    1    |  14.29   |  5   |     1.0     |
|  12 |     361度 Spire R     |  221.7  |  339  |    1.53    |    15.51    |     534     |      0.63     |   0.42   |   0    |   0    |    0    |   9.11   | 252  |      0      |
|  13 |    多威 MR3900 征途   |   35.5  |  246  |    6.93    |     0.52    |     448     |      0.55     |   0.08   |   0    |   0    |    0    |   2.92   |  35  |      0      |
|  14 |  Mizuno WAVE RIDER 24 |   92.6  |  613  |    6.62    |     1.42    |     734     |      0.83     |   0.13   |   0    |   0    |    0    |   3.81   | 160  |      0      |
|  15 |  ASICS GEL-NIMBUS 21  |   13.2  |  595  |   45.08    |     0.03    |     722     |      0.82     |   0.02   |   0    |   0    |    0    |   1.08   |  13  |      0      |
|  16 |  ASICS GEL-CUMULUS 21 |  358.6  |  400  |    1.12    |    35.31    |     584     |      0.68     |   0.61   |   0    |   0    |    0    |  15.18   | 366  |      0      |
|  17 |   迪卡侬 RUN ACTIVE   |   5.7   |  200  |   35.09    |     0.02    |     400     |      0.5      |   0.01   |   0    |   0    |    0    |   0.47   |  5   |      0      |
+-----+-----------------------+---------+-------+------------+-------------+-------------+---------------+----------+--------+--------+---------+----------+------+-------------+
