date,distance,used_time,average_heart_rate,cadence,shoe,type
2023-12-22,8.1,0,0,0,乔丹 强风SE 秋冬版,run
2023-12-21,10.1,0,0,0,乔丹 强风SE 秋冬版,run
2023-12-20,8.63,0,0,0,乔丹 强风SE 秋冬版,run
2023-12-18,6.09,0,0,0,乔丹 强风SE 秋冬版,run
2023-12-17,10.08,0,0,0,乔丹 强风SE 秋冬版,run
2023-12-15,8.93,0,0,0,乔丹 强风SE 秋冬版,run
2023-12-13,3.02,0,0,0,乔丹 强风SE 秋冬版,run
2023-11-01,81.33,0,0,0,乔丹 飞影PB 2.0,run
2023-12-05,9.54,0,0,0,乔丹 飞影PB 2.0,run
2023-12-14,10.1,0,0,0,李宁 赤兔6 PRO,run
2023-12-11,7.16,0,0,0,李宁 赤兔6 PRO,run
2023-11-01,30.52,0,0,0,李宁 赤兔6 PRO,run
2023-10-01,41.19,0,0,0,李宁 赤兔6 PRO,run
2023-12-04,7.82,0,0,0,李宁 赤兔6 PRO,run
2023-12-02,8.08,0,0,0,李宁 飞电3 Challenger,run
2023-11-01,24.06,0,0,0,李宁 飞电3 Challenger,run
2023-09-01,5.54,0,0,0,李宁 飞电3 Challenger,run
2023-08-01,14.27,0,0,0,李宁 飞电3 Challenger,run
2023-07-01,4.68,0,0,0,李宁 飞电3 Challenger,run
2023-12-10,19.24,0,0,0,乔丹 强风SE,run
2023-12-09,4.72,0,0,0,乔丹 强风SE,run
2023-12-08,15.39,0,0,0,乔丹 强风SE,run
2023-12-03,16.39,0,0,0,乔丹 强风SE,run
2023-11-01,89.08,0,0,0,乔丹 强风SE,run
2023-10-01,92.01,0,0,0,乔丹 强风SE,run
2023-09-01,85.58,0,0,0,乔丹 强风SE,run
2023-08-01,121.34,0,0,0,乔丹 强风SE,run
2023-07-01,46.58,0,0,0,乔丹 强风SE,run
2023-06-01,56.78,0,0,0,乔丹 强风SE,run
2023-09-01,8.37,0,0,0,李宁 越影,run
2023-07-01,11.09,0,0,0,李宁 越影,run
2023-05-01,5.15,0,0,0,李宁 越影,run
2023-04-01,26.13,0,0,0,李宁 越影,run
2023-11-01,8.02,0,0,0,HOKA Speedgoat 5,run
2023-05-01,2.74,0,0,0,HOKA Speedgoat 5,run
2023-10-01,4.02,0,0,0,安踏 柏油路霸,run
2023-02-01,6.1,0,0,0,安踏 柏油路霸,run
2022-12-01,12.22,0,0,0,安踏 柏油路霸,run
2022-10-01,7.26,0,0,0,安踏 柏油路霸,run
2022-07-01,5.02,0,0,0,安踏 柏油路霸,run
2022-06-01,12.42,0,0,0,安踏 柏油路霸,run
2022-05-01,25.92,0,0,0,安踏 柏油路霸,run
2022-01-01,6.69,0,0,0,安踏 柏油路霸,run
2021-12-01,18.91,0,0,0,安踏 柏油路霸,run
2023-10-01,8.3,0,0,0,361度 Spire R,run
2023-06-01,14.38,0,0,0,361度 Spire R,run
2022-07-01,8.76,0,0,0,361度 Spire R,run
2022-06-01,7.56,0,0,0,361度 Spire R,run
2022-05-01,8.61,0,0,0,361度 Spire R,run
2022-04-01,52.79,0,0,0,361度 Spire R,run
2022-03-01,45.35,0,0,0,361度 Spire R,run
2022-02-01,32.61,0,0,0,361度 Spire R,run
2022-01-01,27.2,0,0,0,361度 Spire R,run
2021-11-01,16.16,0,0,0,361度 Spire R,run
2022-02-01,7.91,0,0,0,多威 MR3900 征途,run
2021-12-01,9.53,0,0,0,多威 MR3900 征途,run
2021-10-01,18.1,0,0,0,多威 MR3900 征途,run
2023-12-23,6.82,0,0,0,Saucony Kinvara 11,run
2023-12-06,10.01,0,0,0,Saucony Kinvara 11,run
2023-11-01,26.41,0,0,0,Saucony Kinvara 11,run
2023-10-01,27.02,0,0,0,Saucony Kinvara 11,run
2023-08-01,15.72,0,0,0,Saucony Kinvara 11,run
2023-07-01,61.96,0,0,0,Saucony Kinvara 11,run
2023-06-01,15.6,0,0,0,Saucony Kinvara 11,run
2023-05-01,21.8,0,0,0,Saucony Kinvara 11,run
2023-03-01,42.74,0,0,0,Saucony Kinvara 11,run
2023-02-01,10.53,0,0,0,Saucony Kinvara 11,run
2022-11-01,39.41,0,0,0,Saucony Kinvara 11,run
2022-10-01,35.33,0,0,0,Saucony Kinvara 11,run
2022-09-01,63.72,0,0,0,Saucony Kinvara 11,run
2022-08-01,28.05,0,0,0,Saucony Kinvara 11,run
2022-07-01,38.47,0,0,0,Saucony Kinvara 11,run
2022-06-01,43.51,0,0,0,Saucony Kinvara 11,run
2022-05-01,39,0,0,0,Saucony Kinvara 11,run
2022-04-01,7.65,0,0,0,Saucony Kinvara 11,run
2021-11-01,12.6,0,0,0,Saucony Kinvara 11,run
2021-10-01,21.61,0,0,0,Saucony Kinvara 11,run
2021-09-01,72.12,0,0,0,Saucony Kinvara 11,run
2023-10-01,2.55,0,0,0,Mizuno WAVE RIDER 24,run
2023-08-01,20.93,0,0,0,Mizuno WAVE RIDER 24,run
2023-07-01,12.57,0,0,0,Mizuno WAVE RIDER 24,run
2023-05-01,4.72,0,0,0,Mizuno WAVE RIDER 24,run
2023-04-01,3.2,0,0,0,Mizuno WAVE RIDER 24,run
2021-09-01,3.4,0,0,0,Mizuno WAVE RIDER 24,run
2021-07-01,13.98,0,0,0,Mizuno WAVE RIDER 24,run
2021-06-01,31.3,0,0,0,Mizuno WAVE RIDER 24,run
2021-02-01,4.18,0,0,0,ASICS GEL-NIMBUS 21,run
2020-12-01,9.01,0,0,0,ASICS GEL-NIMBUS 21,run
2023-10-01,12.29,0,0,0,Saucony Triumph 18,run
2023-09-01,30.01,0,0,0,Saucony Triumph 18,run
2023-08-01,12.91,0,0,0,Saucony Triumph 18,run
2023-07-01,8.86,0,0,0,Saucony Triumph 18,run
2023-06-01,19.83,0,0,0,Saucony Triumph 18,run
2023-05-01,25.51,0,0,0,Saucony Triumph 18,run
2023-04-01,27.68,0,0,0,Saucony Triumph 18,run
2023-03-01,3.78,0,0,0,Saucony Triumph 18,run
2022-06-01,1.88,0,0,0,Saucony Triumph 18,run
2022-01-01,1.21,0,0,0,Saucony Triumph 18,run
2021-11-01,7.7,0,0,0,Saucony Triumph 18,run
2021-10-01,25.14,0,0,0,Saucony Triumph 18,run
2021-08-01,70.13,0,0,0,Saucony Triumph 18,run
2021-07-01,59.06,0,0,0,Saucony Triumph 18,run
2021-06-01,12.82,0,0,0,Saucony Triumph 18,run
2021-05-01,36.33,0,0,0,Saucony Triumph 18,run
2021-04-01,43.21,0,0,0,Saucony Triumph 18,run
2021-03-01,38.24,0,0,0,Saucony Triumph 18,run
2021-02-01,50.01,0,0,0,Saucony Triumph 18,run
2021-01-01,50.48,0,0,0,Saucony Triumph 18,run
2020-12-01,94.96,0,0,0,Saucony Triumph 18,run
2020-11-01,44.22,0,0,0,Saucony Triumph 18,run
2023-03-01,0.67,0,0,0,ASICS GEL-CUMULUS 21,run
2023-02-01,7.19,0,0,0,ASICS GEL-CUMULUS 21,run
2023-01-01,0.66,0,0,0,ASICS GEL-CUMULUS 21,run
2022-12-01,1.29,0,0,0,ASICS GEL-CUMULUS 21,run
2022-09-01,1.26,0,0,0,ASICS GEL-CUMULUS 21,run
2022-08-01,5.91,0,0,0,ASICS GEL-CUMULUS 21,run
2022-07-01,2.25,0,0,0,ASICS GEL-CUMULUS 21,run
2022-06-01,8.31,0,0,0,ASICS GEL-CUMULUS 21,run
2022-05-01,22.25,0,0,0,ASICS GEL-CUMULUS 21,run
2022-04-01,9.88,0,0,0,ASICS GEL-CUMULUS 21,run
2022-03-01,7.57,0,0,0,ASICS GEL-CUMULUS 21,run
2022-01-01,14.85,0,0,0,ASICS GEL-CUMULUS 21,run
2021-10-01,2.11,0,0,0,ASICS GEL-CUMULUS 21,run
2020-12-01,10.01,0,0,0,ASICS GEL-CUMULUS 21,run
2020-11-01,63.33,0,0,0,ASICS GEL-CUMULUS 21,run
2020-10-01,92.06,0,0,0,ASICS GEL-CUMULUS 21,run
2020-09-01,40.78,0,0,0,ASICS GEL-CUMULUS 21,run
2020-08-01,61.63,0,0,0,ASICS GEL-CUMULUS 21,run
2020-07-01,6.56,0,0,0,ASICS GEL-CUMULUS 21,run
2020-07-01,5.68,0,0,0,迪卡侬 RUN ACTIVE,run
2023-12-26,8.38,0:52:08,143,165,乔丹 强风SE 秋冬版,playground
2023-12-27,5.27,0:44:20,112,169,Saucony Triumph 18,treadmill
2023-12-28,10.09,1:03:54,139,185,乔丹 强风SE 秋冬版,run
2023-12-29,7.1,1:00:48,113,159,Saucony Triumph 18,treadmill
2023-12-30,9.15,1:04:31,130,173,Saucony Triumph 18,treadmill
2023-12-24,21.15,1:47:45,157,188,乔丹 强风SE 秋冬版,run
2023-12-31,4.24,0:25:23,138,174,乔丹 强风SE 秋冬版,run
2023-12-31,0.52,0:03:30,121,169,乔丹 强风SE 秋冬版,run
2024-01-01,8.69,0:53:26,142,170,adidas adizero Boston 12,run
2024-01-02,6.92,0:45:16,134,156,乔丹 飞影PB 2.0,playground
2024-01-03,10.01,0:55:15,149,181,李宁 飞电3 Challenger,run
2024-01-05,3.7,0:29:51,129,146,HOKA Speedgoat 5,run
2024-01-05,0.49,0:03:35,119,162,HOKA Speedgoat 5,run
2024-01-06,0.95,0:07:18,119,156,adidas adizero Boston 12,run
2024-01-10,1.02,0:07:23,119,138,adidas adizero Boston 12,run
2024-01-12,8.02,0:46:37,148,177,adidas adizero Boston 12,run
2024-01-13,21.12,2:09:01,145,184,adidas adizero Boston 12,run
2024-01-13,0.34,0:02:15,121,185,adidas adizero Boston 12,run
2024-01-14,9.89,1:02:15,137,177,乔丹 强风SE 秋冬版,run
2024-01-15,7.86,0:46:53,146,179,adidas adizero Boston 12,run
2024-01-17,6.94,0:51:00,134,167,HOKA Speedgoat 5,run
2024-01-18,1.34,0:08:54,138,168,乔丹 飞影PB 2.0,playground
2024-01-18,0.58,0:03:31,134,178,乔丹 飞影PB 2.0,run
2024-01-19,12.01,1:09:36,147,183,乔丹 强风SE 秋冬版,run
2024-01-20,11.23,1:10:11,140,177,adidas adizero Boston 12,run
2024-01-21,0.11,0:01:11,115,135,Saucony Triumph 18,run
2024-01-21,18.76,1:50:24,149,184,乔丹 强风SE 秋冬版,run
2024-01-22,7.69,1:05:18,124,159,安踏 柏油路霸,run
2024-01-23,0.76,0:04:51,127,181,Saucony Kinvara 11,run
2024-01-23,0.51,0:04:36,116,145,Saucony Kinvara 11,run
2024-01-24,10.7,1:10:51,136,178,Saucony Kinvara 11,run
2024-01-25,10.04,0:55:04,152,176,特步 160X 5.0,playground
2024-01-26,8.38,1:06:07,128,172,Saucony Kinvara 11,run
2024-01-27,20.71,2:04:39,147,186,乔丹 强风SE 秋冬版,run
2024-01-29,6.46,0:38:08,145,183,乔丹 强风SE,run
2024-01-30,10.07,1:01:55,143,180,Saucony Kinvara 11,run
2024-01-31,10.01,0:56:36,151,175,李宁 赤兔6 PRO,playground
2024-02-01,9.85,0:58:06,145,183,adidas adizero Boston 12,run
2024-02-02,8.45,1:00:20,136,176,Saucony Kinvara 11,run
2024-02-03,18.85,1:52:02,142,181,特步 160X 5.0,run
2024-02-04,7.62,0:52:35,134,170,adidas adizero Boston 12,run
2024-02-05,9.87,0:58:10,142,177,乔丹 强风SE 秋冬版,run
