日期,RQ,status,physical power,fatigue
2023-10-10,41.6
2023-10-12,41.6
2023-10-13,41.7
2023-10-14,41.6
2023-10-16,41.6
2023-10-17,41.5
2023-10-18,41.4
2023-10-19,41.5
2023-10-21,41.7
2023-10-22,41.7
2023-10-23,41.7
2023-10-24,41.9
2023-10-25,42
2023-10-27,42
2023-10-29,42
2023-10-31,42
2023-11-01,42
2023-11-03,42.1
2023-11-04,42.2
2023-11-05,42.1
2023-11-06,42.1
2023-11-07,42.2
2023-11-08,42.2
2023-11-10,42.3
2023-11-11,42.4
2023-11-12,42.5
2023-11-13,42.5
2023-11-14,42.7
2023-11-15,42.6
2023-11-17,42.8
2023-11-18,42.8
2023-11-19,42.8
2023-11-20,42.6
2023-11-21,42.7
2023-11-22,42.7
2023-11-23,42.8
2023-11-24,42.8
2023-11-26,42.8
2023-11-27,42.8
2023-11-28,43.0
2023-11-30,43.2,-2.5,12.2,14.6
2023-12-02,43.1,-1.1,12.0,13.1
2023-12-03,43.2,-2.5,12.3,14.8
2023-12-04,43.1,-1.8,12.2,14.0
2023-12-05,43.3,-3.1,12.6,15.7
2023-12-06,43.3,-1.3,12.3,13.6
2023-12-08,43.5,-3,12.6,15.7
2023-12-09,43.4,-1.9,12.5,14.3
2023-12-10,43.4,-3,12.7,15.7
2023-12-11,43.4,-2,12.6,14.5
2023-12-12,43.4,0.3,12.2,11.9
2023-12-13,43.3,0.3,12.1,11.4
2023-12-14,43.3,0.3,12.1,11.8
2023-12-15,43.2,-0.2,12.2,12.4
2023-12-16,43.2,2.1,11.7,9.6
2023-12-17,43.0,1.3,11.8,10.5
2023-12-18,43.0,2.2,11.6,9.4
2023-12-19,43.0,3.2,11.3,8.1
2023-12-20,42.9,2,11.5,9.5
2023-12-21,42.9,1.6,11.5,9.8
2023-12-22,43.1,1.6,11.4,9.9
2023-12-23,43.2,1.7,11.3,9.7
2023-12-24,43.3,-3.1,12.2,15.3
2023-12-25,43.3,-1.1,11.9,13.0
2023-12-26,43.5,-1.7,12.0,13.6
2023-12-27,43.5,-0.5,11.8,12.2
2023-12-29,43.5,0.6,11.5,10.9
2023-12-30,43.3,0.7,11.5,10.8
2023-12-31,43.4,0.7,11.5,10.7
2024-01-01,43.6,0.2,11.5,11.3
2024-01-02,43.8,0.1,11.5,11.4
2024-01-03,43.9,-0.7,11.6,12.3
2024-01-04,43.8,1.5,11.1,9.6
2024-01-06,43.9,2.1,11.0,8.9
2024-01-10,44.0,4.9,10,5
2024-01-12,43.9,4.1,9.8,5.7
2024-01-13,43.9,0.9,10.3,9.4
2024-01-14,44,0.5,10.3,9.8
2024-01-15,44,0.2,10.4,10.2
2024-01-17,43.9,1.1,10.1,9
2024-01-18,43.9,1.7,10,8.3
2024-01-19,44,0.2,10.2,10
2024-01-20,44,-0.5,10.3,10.8
2024-01-21,44,-3.4,10.8,14.2
2024-01-22,44,-3.2,10.9,14
2024-01-23,44,-1.7,10.6,12.4
2024-01-24,44,-1.9,10.7,12.6
2024-01-25,44.1,-3.4,11,14.4
2024-01-26,44.2,-2.8,10.9,13.7
2024-01-27,44.2,-6,11.6,17.6
2024-01-29,44.4,-3.1,11.3,14.4
2024-01-30,44.4,-3.3,11.4,14.6
2024-01-31,44.5,-4.3,11.6,15.9
2024-02-01,44.5,-4.3,11.7,16.1
2024-02-03,44.4,-4.8,12,16.8
2024-02-04,44.3,-3.9,11.9,15.7
2024-02-05,44.3,-3.6,11.9,15.5
2024-02-07,44.5,-2.6,11.8,14.4
2024-02-08,44.5,-2,11.7,13.7
2024-02-10,44.5,-3.5,12,15.5
2024-02-11,44.6,-4.5,12.3,17
2024-02-12,44.7,-3.6,12.3,15.9
2024-02-13,44.8,-6,12.9,18.8
2024-02-14,44.7,-4.6,12.6,17.2
2024-02-15,44.7,-5.2,12.8,18
2024-02-16,44.8,-5.4,13,18.4
2024-02-17,44.8,-4,13,12.9
2024-02-18,44.8,-2.8,12.7,15.5
2024-02-21,44.8,0.9,12,11.1
2024-02-23,45,-0.7,12.1,12.9
2024-02-24,45.1,-0.1,12.0,12.1
2024-02-25,45,-1.7,12.3,14
2024-02-26,45,-0.3,12.1,12.4
2024-02-27,45.1,-2,12.4,14.4
2024-02-28,45.3,-1.4,12.3,13.6
2024-02-29,45.3,-1.6,12.3,13.9
2024-03-01,45.4,-2.4,12.5,14.9
2024-03-02,45.4,-1.6,12.4,14
2024-03-03,45.6,-1.6,12.4,14
2024-03-04,45.7,-1.9,12.5,14.4
2024-03-05,45.7,-1.5,12.4,13.9
2024-03-06,45.8,-2.5,12.6,15.1
2024-03-07,45.8,-5.2,13.2,18.4
2024-03-09,45.9,-3.7,13.1,16.8
2024-03-10,45.9,-6,13.6,19.6
2024-03-11,45.9,-4.5,13.4,17.9
2024-03-12,45.9,-5.1,13.6,18.7
2024-03-13,45.9,-6.9,14.1,21
2024-03-15,46,-4.4,13.8,18.3
2024-03-16,46,-6.9,14.4,21.3
2024-03-17,46.1,-4.2,14,18.2
2024-03-18,46.1,-2.6,13.8,16.4
2024-03-19,45.9,-4.7,14.2,18.9
2024-03-20,45.9,-4.8,14.4,19.2
2024-03-21,46,-6.8,14.8,21.6
2024-03-23,46.1,-4.3,14.6,18.8
