,risk_index
2023-01-18,11.386686
2023-01-19,11.386686
2023-01-20,11.386686
2023-01-23,11.386686
2023-01-24,11.386686
2023-01-25,11.386686
2023-01-26,11.386686
2023-01-27,11.386686
2023-01-30,11.62011
2023-01-31,10.453082
2023-02-01,8.042149
2023-02-02,7.026475
2023-02-03,7.9048033
2023-02-06,8.30731
2023-02-07,10.003024
2023-02-08,10.939701
2023-02-09,12.597419
2023-02-10,14.066906
2023-02-13,14.03357
2023-02-14,14.739137
2023-02-15,14.209959
2023-02-16,15.1641445
2023-02-17,15.07402
2023-02-20,14.486161
2023-02-21,18.510887
2023-02-22,19.482481
2023-02-23,20.682732
2023-02-24,22.560606
2023-02-27,22.811531
2023-02-28,22.221851
2023-03-01,21.274118
2023-03-02,17.269434
2023-03-03,15.9744625
2023-03-06,14.598766
2023-03-07,11.659237
2023-03-08,11.892785
2023-03-09,12.413969
2023-03-10,13.404871
2023-03-13,21.280872
2023-03-14,22.155876
2023-03-15,33.568176
2023-03-16,19.552963
2023-03-17,21.336338
2023-03-20,18.844622
2023-03-21,19.412405
2023-03-22,19.826378
2023-03-23,21.571934
2023-03-24,18.22919
2023-03-27,18.429974
2023-03-28,14.1279335
2023-03-29,11.966187
2023-03-30,12.155404
2023-03-31,12.183757
2023-04-03,12.369741
2023-04-04,12.683705
2023-04-05,17.901154
2023-04-06,21.964767
2023-04-07,22.808083
2023-04-10,19.22898
2023-04-11,22.655008
2023-04-12,24.538483
2023-04-13,18.058123
2023-04-14,14.126503
2023-04-17,13.786564
2023-04-18,13.707239
2023-04-19,14.969235
2023-04-20,15.612287
2023-04-21,15.693301
2023-04-24,16.375565
2023-04-25,16.22466
2023-04-26,16.915535
2023-04-27,15.376076
2023-04-28,12.842503
2023-05-01,11.792102
2023-05-02,14.251288
2023-05-03,15.643825
2023-05-04,15.876514
2023-05-05,17.004126
2023-05-08,17.34786
2023-05-09,18.581894
2023-05-10,17.474548
2023-05-11,17.126646
2023-05-12,15.284336
2023-05-15,13.831234
2023-05-16,11.804458
2023-05-17,10.938245
2023-05-18,10.468929
2023-05-19,9.296619
2023-05-22,9.408747
2023-05-23,10.719613
2023-05-24,12.320456
2023-05-25,15.6447525
2023-05-26,16.08379
2023-05-29,15.996523
2023-05-30,17.41091
2023-05-31,15.733266
2023-06-01,14.479122
2023-06-02,12.807575
2023-06-05,11.161793
2023-06-06,11.124415
2023-06-07,11.294317
2023-06-08,13.259037
2023-06-09,14.272499
2023-06-12,14.550165
2023-06-13,15.443734
2023-06-14,15.248815
2023-06-15,14.043608
2023-06-16,14.181032
2023-06-19,12.940016
2023-06-20,11.813576
2023-06-21,10.551347
2023-06-22,10.083557
2023-06-23,10.742626
2023-06-26,11.342607
2023-06-27,11.342607
2023-06-28,11.330297
2023-06-29,11.440487
2023-06-30,12.032574
2023-07-03,9.594923
2023-07-04,9.267047
2023-07-05,11.749949
2023-07-06,12.890827
2023-07-07,16.744692
2023-07-10,17.236965
2023-07-11,17.580713
2023-07-12,14.139931
2023-07-13,16.46674
2023-07-14,15.613062
2023-07-17,14.464965
2023-07-18,12.121657
2023-07-19,11.577176
2023-07-20,11.5634575
2023-07-21,11.198442
2023-07-24,10.331238
2023-07-25,11.129583
2023-07-26,12.208534
2023-07-27,12.442689
2023-07-28,11.69517
2023-07-31,10.250907
2023-08-01,7.319993
2023-08-02,13.25924
2023-08-03,16.689945
2023-08-04,20.725147
2023-08-07,20.847343
2023-08-08,20.757467
2023-08-09,22.270168
2023-08-10,21.399342
2023-08-11,19.821482
2023-08-14,20.104055
2023-08-15,21.85881
2023-08-16,21.612062
2023-08-17,20.635386
2023-08-18,19.191502
2023-08-21,19.28165
2023-08-22,20.26021
2023-08-23,19.544804
2023-08-24,20.257217
2023-08-25,20.542002
2023-08-28,21.032059
2023-08-29,16.471912
2023-08-30,9.94286
2023-08-31,10.638232
2023-09-01,11.5257635
2023-09-04,12.600809
2023-09-05,13.03473
2023-09-06,14.132176
2023-09-07,13.52991
2023-09-08,13.149965
2023-09-11,12.187596
2023-09-12,12.940632
2023-09-13,11.869859
2023-09-14,10.622416
2023-09-15,10.671589
2023-09-18,10.977641
2023-09-19,10.904056
2023-09-20,11.593044
2023-09-21,14.866192
2023-09-22,19.443775
2023-09-25,19.114569
2023-09-26,31.959217
