date,value,indicator_code,indicator_name,frequency
1951-12-01,12.5,CPI,居民消费价格指数,m
1952-12-01,679.0,GDP,国内生产总值,q
1952-12-01,2.7,CPI,居民消费价格指数,m
1953-12-01,5.1,CPI,居民消费价格指数,m
1953-12-01,824.0,GDP,国内生产总值,q
1954-12-01,859.0,GDP,国内生产总值,q
1954-12-01,1.4,CPI,居民消费价格指数,m
1955-12-01,910.0,GDP,国内生产总值,q
1955-12-01,0.3,CPI,居民消费价格指数,m
1956-12-01,-0.1,CPI,居民消费价格指数,m
1956-12-01,1028.0,GDP,国内生产总值,q
1957-12-01,2.6,CPI,居民消费价格指数,m
1957-12-01,1068.0,GDP,国内生产总值,q
1958-12-01,-1.1,CPI,居民消费价格指数,m
1958-12-01,1307.0,GDP,国内生产总值,q
1959-12-01,0.3,CPI,居民消费价格指数,m
1959-12-01,1439.0,GDP,国内生产总值,q
1960-12-01,2.5,CPI,居民消费价格指数,m
1960-12-01,1457.0,GDP,国内生产总值,q
1961-12-01,16.1,CPI,居民消费价格指数,m
1961-12-01,1220.0,GDP,国内生产总值,q
1962-12-01,1149.3,GDP,国内生产总值,q
1962-12-01,3.8,CPI,居民消费价格指数,m
1963-12-01,-5.9,CPI,居民消费价格指数,m
1963-12-01,1233.3,GDP,国内生产总值,q
1964-12-01,-3.7,CPI,居民消费价格指数,m
1964-12-01,1454.0,GDP,国内生产总值,q
1965-12-01,-1.2,CPI,居民消费价格指数,m
1965-12-01,1716.1,GDP,国内生产总值,q
1966-12-01,1868.0,GDP,国内生产总值,q
1966-12-01,-1.2,CPI,居民消费价格指数,m
1967-12-01,1773.9,GDP,国内生产总值,q
1967-12-01,-0.6,CPI,居民消费价格指数,m
1968-12-01,1723.1,GDP,国内生产总值,q
1968-12-01,0.1,CPI,居民消费价格指数,m
1969-12-01,1.0,CPI,居民消费价格指数,m
1969-12-01,1937.9,GDP,国内生产总值,q
1970-12-01,2252.7,GDP,国内生产总值,q
1970-12-01,0.0,CPI,居民消费价格指数,m
1971-12-01,2426.4,GDP,国内生产总值,q
1971-12-01,-0.1,CPI,居民消费价格指数,m
1972-12-01,2518.1,GDP,国内生产总值,q
1972-12-01,0.2,CPI,居民消费价格指数,m
1973-12-01,2720.9,GDP,国内生产总值,q
1973-12-01,0.1,CPI,居民消费价格指数,m
1974-12-01,2789.9,GDP,国内生产总值,q
1974-12-01,0.7,CPI,居民消费价格指数,m
1975-12-01,0.4,CPI,居民消费价格指数,m
1975-12-01,2997.3,GDP,国内生产总值,q
1976-12-01,0.3,CPI,居民消费价格指数,m
1976-12-01,2943.7,GDP,国内生产总值,q
1977-12-01,2.7,CPI,居民消费价格指数,m
1977-12-01,3201.9,GDP,国内生产总值,q
1978-01-01,870.53,M1,M1货币供应量,m
1978-01-01,229.59,M0,M0货币供应量,m
1978-02-01,833.35,M1,M1货币供应量,m
1978-02-01,205.89,M0,M0货币供应量,m
1978-03-01,194.86,M0,M0货币供应量,m
1978-03-01,827.83,M1,M1货币供应量,m
1978-04-01,192.63,M0,M0货币供应量,m
1978-04-01,808.17,M1,M1货币供应量,m
1978-05-01,757.93,M1,M1货币供应量,m
1978-05-01,182.17,M0,M0货币供应量,m
1978-06-01,745.08,M1,M1货币供应量,m
1978-06-01,178.46,M0,M0货币供应量,m
1978-07-01,746.43,M1,M1货币供应量,m
1978-07-01,181.02,M0,M0货币供应量,m
1978-08-01,755.99,M1,M1货币供应量,m
1978-08-01,182.12,M0,M0货币供应量,m
1978-09-01,763.47,M1,M1货币供应量,m
1978-09-01,188.27,M0,M0货币供应量,m
1978-10-01,778.64,M1,M1货币供应量,m
1978-10-01,185.24,M0,M0货币供应量,m
1978-11-01,190.54,M0,M0货币供应量,m
1978-11-01,808.27,M1,M1货币供应量,m
1978-12-01,3645.2,GDP,国内生产总值,q
1978-12-01,0.7,CPI,居民消费价格指数,m
1978-12-01,859.45,M1,M1货币供应量,m
1978-12-01,212.03,M0,M0货币供应量,m
1979-01-01,851.39,M1,M1货币供应量,m
1979-01-01,257.22,M0,M0货币供应量,m
1979-02-01,823.0,M1,M1货币供应量,m
1979-02-01,228.36,M0,M0货币供应量,m
1979-03-01,219.02,M0,M0货币供应量,m
1979-03-01,833.24,M1,M1货币供应量,m
1979-04-01,217.33,M0,M0货币供应量,m
1979-04-01,835.08,M1,M1货币供应量,m
1979-05-01,209.0,M0,M0货币供应量,m
1979-05-01,809.14,M1,M1货币供应量,m
1979-06-01,814.67,M1,M1货币供应量,m
1979-06-01,208.71,M0,M0货币供应量,m
1979-07-01,831.28,M1,M1货币供应量,m
1979-07-01,212.96,M0,M0货币供应量,m
1979-08-01,849.58,M1,M1货币供应量,m
1979-08-01,215.35,M0,M0货币供应量,m
1979-09-01,225.57,M0,M0货币供应量,m
1979-09-01,871.19,M1,M1货币供应量,m
1979-10-01,895.32,M1,M1货币供应量,m
1979-10-01,220.9,M0,M0货币供应量,m
1979-11-01,955.66,M1,M1货币供应量,m
1979-11-01,235.13,M0,M0货币供应量,m
1979-12-01,267.71,M0,M0货币供应量,m
1979-12-01,1069.36,M1,M1货币供应量,m
1979-12-01,4062.6,GDP,国内生产总值,q
1979-12-01,1.9,CPI,居民消费价格指数,m
1980-01-01,300.41,M0,M0货币供应量,m
1980-01-01,1031.89,M1,M1货币供应量,m
1980-02-01,279.18,M0,M0货币供应量,m
1980-02-01,975.8,M1,M1货币供应量,m
1980-03-01,963.91,M1,M1货币供应量,m
1980-03-01,261.49,M0,M0货币供应量,m
1980-04-01,954.89,M1,M1货币供应量,m
1980-04-01,254.07,M0,M0货币供应量,m
1980-05-01,957.2,M1,M1货币供应量,m
1980-05-01,243.13,M0,M0货币供应量,m
1980-06-01,983.04,M1,M1货币供应量,m
1980-06-01,243.3,M0,M0货币供应量,m
1980-07-01,251.71,M0,M0货币供应量,m
1980-07-01,1012.49,M1,M1货币供应量,m
1980-08-01,259.97,M0,M0货币供应量,m
1980-08-01,1043.81,M1,M1货币供应量,m
1980-09-01,1081.75,M1,M1货币供应量,m
1980-09-01,274.35,M0,M0货币供应量,m
1980-10-01,1133.15,M1,M1货币供应量,m
1980-10-01,285.84,M0,M0货币供应量,m
1980-11-01,309.0,M0,M0货币供应量,m
1980-11-01,1206.27,M1,M1货币供应量,m
1980-12-01,7.5,CPI,居民消费价格指数,m
1980-12-01,1315.74,M1,M1货币供应量,m
1980-12-01,346.2,M0,M0货币供应量,m
1980-12-01,4545.6,GDP,国内生产总值,q
1981-01-01,415.03,M0,M0货币供应量,m
1981-01-01,1370.5,M1,M1货币供应量,m
1981-02-01,349.86,M0,M0货币供应量,m
1981-02-01,1309.39,M1,M1货币供应量,m
1981-03-01,325.62,M0,M0货币供应量,m
1981-03-01,1289.05,M1,M1货币供应量,m
1981-04-01,318.04,M0,M0货币供应量,m
1981-04-01,1267.41,M1,M1货币供应量,m
1981-05-01,306.44,M0,M0货币供应量,m
1981-05-01,1268.12,M1,M1货币供应量,m
1981-06-01,1297.76,M1,M1货币供应量,m
1981-06-01,306.38,M0,M0货币供应量,m
1981-07-01,315.46,M0,M0货币供应量,m
1981-07-01,1320.01,M1,M1货币供应量,m
1981-08-01,320.16,M0,M0货币供应量,m
1981-08-01,1356.45,M1,M1货币供应量,m
1981-09-01,1393.37,M1,M1货币供应量,m
1981-09-01,333.15,M0,M0货币供应量,m
1981-10-01,1250.32,M1,M1货币供应量,m
1981-10-01,345.23,M0,M0货币供应量,m
1981-11-01,359.85,M0,M0货币供应量,m
1981-11-01,1580.86,M1,M1货币供应量,m
1981-12-01,4891.6,GDP,国内生产总值,q
1981-12-01,2.5,CPI,居民消费价格指数,m
1981-12-01,1636.56,M1,M1货币供应量,m
1981-12-01,396.34,M0,M0货币供应量,m
1982-01-01,1638.32,M1,M1货币供应量,m
1982-01-01,443.01,M0,M0货币供应量,m
1982-02-01,402.92,M0,M0货币供应量,m
1982-02-01,1578.76,M1,M1货币供应量,m
1982-03-01,1569.69,M1,M1货币供应量,m
1982-03-01,377.87,M0,M0货币供应量,m
1982-04-01,1552.52,M1,M1货币供应量,m
1982-04-01,367.33,M0,M0货币供应量,m
1982-05-01,1555.3,M1,M1货币供应量,m
1982-05-01,349.47,M0,M0货币供应量,m
1982-06-01,352.49,M0,M0货币供应量,m
1982-06-01,1567.42,M1,M1货币供应量,m
1982-07-01,358.21,M0,M0货币供应量,m
1982-07-01,1587.92,M1,M1货币供应量,m
1982-08-01,359.96,M0,M0货币供应量,m
1982-08-01,1610.77,M1,M1货币供应量,m
1982-09-01,377.4,M0,M0货币供应量,m
1982-09-01,1642.91,M1,M1货币供应量,m
1982-10-01,388.4,M0,M0货币供应量,m
1982-10-01,1693.45,M1,M1货币供应量,m
1982-11-01,1766.36,M1,M1货币供应量,m
1982-11-01,404.1,M0,M0货币供应量,m
1982-12-01,2.0,CPI,居民消费价格指数,m
1982-12-01,5323.4,GDP,国内生产总值,q
1982-12-01,1885.11,M1,M1货币供应量,m
1982-12-01,439.12,M0,M0货币供应量,m
1983-01-01,1984.95,M1,M1货币供应量,m
1983-01-01,482.96,M0,M0货币供应量,m
1983-02-01,1925.99,M1,M1货币供应量,m
1983-02-01,459.91,M0,M0货币供应量,m
1983-03-01,1925.79,M1,M1货币供应量,m
1983-03-01,433.27,M0,M0货币供应量,m
1983-04-01,1968.01,M1,M1货币供应量,m
1983-04-01,430.86,M0,M0货币供应量,m
1983-05-01,1957.82,M1,M1货币供应量,m
1983-05-01,415.25,M0,M0货币供应量,m
1983-06-01,1975.1,M1,M1货币供应量,m
1983-06-01,421.97,M0,M0货币供应量,m
1983-07-01,438.16,M0,M0货币供应量,m
1983-07-01,2019.99,M1,M1货币供应量,m
1983-08-01,439.65,M0,M0货币供应量,m
1983-08-01,2033.77,M1,M1货币供应量,m
1983-09-01,2082.24,M1,M1货币供应量,m
1983-09-01,467.28,M0,M0货币供应量,m
1983-10-01,2138.54,M1,M1货币供应量,m
1983-10-01,488.63,M0,M0货币供应量,m
1983-11-01,517.64,M0,M0货币供应量,m
1983-11-01,2252.51,M1,M1货币供应量,m
1983-12-01,529.78,M0,M0货币供应量,m
1983-12-01,5962.7,GDP,国内生产总值,q
1983-12-01,2.0,CPI,居民消费价格指数,m
1983-12-01,2165.04,M1,M1货币供应量,m
1984-01-01,618.47,M0,M0货币供应量,m
1984-01-01,2169.61,M1,M1货币供应量,m
1984-02-01,2072.29,M1,M1货币供应量,m
1984-02-01,530.99,M0,M0货币供应量,m
1984-03-01,2065.67,M1,M1货币供应量,m
1984-03-01,511.19,M0,M0货币供应量,m
1984-04-01,502.06,M0,M0货币供应量,m
1984-04-01,2073.6,M1,M1货币供应量,m
1984-05-01,2080.79,M1,M1货币供应量,m
1984-05-01,481.59,M0,M0货币供应量,m
1984-06-01,490.84,M0,M0货币供应量,m
1984-06-01,2103.01,M1,M1货币供应量,m
1984-07-01,519.27,M0,M0货币供应量,m
1984-07-01,2174.91,M1,M1货币供应量,m
1984-08-01,541.57,M0,M0货币供应量,m
1984-08-01,2247.44,M1,M1货币供应量,m
1984-09-01,2324.55,M1,M1货币供应量,m
1984-09-01,587.2,M0,M0货币供应量,m
1984-10-01,643.59,M0,M0货币供应量,m
1984-10-01,2441.33,M1,M1货币供应量,m
1984-11-01,2592.64,M1,M1货币供应量,m
1984-11-01,700.71,M0,M0货币供应量,m
1984-12-01,7208.1,GDP,国内生产总值,q
1984-12-01,2.7,CPI,居民消费价格指数,m
1984-12-01,2845.24,M1,M1货币供应量,m
1984-12-01,792.11,M0,M0货币供应量,m
1985-01-01,839.35,M0,M0货币供应量,m
1985-01-01,2925.38,M1,M1货币供应量,m
1985-02-01,843.69,M0,M0货币供应量,m
1985-02-01,2870.78,M1,M1货币供应量,m
1985-03-01,2822.05,M1,M1货币供应量,m
1985-03-01,787.59,M0,M0货币供应量,m
1985-04-01,760.76,M0,M0货币供应量,m
1985-04-01,2760.11,M1,M1货币供应量,m
1985-05-01,737.89,M0,M0货币供应量,m
1985-05-01,2715.74,M1,M1货币供应量,m
1985-06-01,2639.4,M1,M1货币供应量,m
1985-06-01,757.5,M0,M0货币供应量,m
1985-07-01,783.74,M0,M0货币供应量,m
1985-07-01,2679.89,M1,M1货币供应量,m
1985-08-01,799.62,M0,M0货币供应量,m
1985-08-01,2689.34,M1,M1货币供应量,m
1985-09-01,827.12,M0,M0货币供应量,m
1985-09-01,2719.54,M1,M1货币供应量,m
1985-10-01,2736.56,M1,M1货币供应量,m
1985-10-01,839.2,M0,M0货币供应量,m
1985-11-01,902.35,M0,M0货币供应量,m
1985-11-01,2838.29,M1,M1货币供应量,m
1985-12-01,987.83,M0,M0货币供应量,m
1985-12-01,3011.39,M1,M1货币供应量,m
1985-12-01,9.3,CPI,居民消费价格指数,m
1985-12-01,9016.0,GDP,国内生产总值,q
