date,value,indicator_code,indicator_name,frequency
2024-12-30,1.367,SHIBORON,Shibor隔夜利率,d
2024-12-30,1.95,SHIBOR1W,Shibor1周利率,d
2024-12-31,1.966,SHIBOR1W,Shibor1周利率,d
2024-12-31,1.454,SHIBORON,Shibor隔夜利率,d
2025-01-02,1.532,SHIBORON,Shibor隔夜利率,d
2025-01-02,1.643,SHIBOR1W,Shibor1周利率,d
2025-01-03,1.67,SHIBOR1W,Shibor1周利率,d
2025-01-03,1.618,SHIBORON,Shibor隔夜利率,d
2025-01-06,1.596,SHIBOR1W,Shibor1周利率,d
2025-01-06,1.454,SHIBORON,Shibor隔夜利率,d
2025-01-07,1.541,SHIBOR1W,Shibor1周利率,d
2025-01-07,1.483,SHIBORON,Shibor隔夜利率,d
2025-01-08,1.523,SHIBORON,Shibor隔夜利率,d
2025-01-08,1.58,SHIBOR1W,Shibor1周利率,d
2025-01-09,1.632,SHIBOR1W,Shibor1周利率,d
2025-01-09,1.547,SHIBORON,Shibor隔夜利率,d
2025-01-10,1.692,SHIBOR1W,Shibor1周利率,d
2025-01-10,1.643,SHIBORON,Shibor隔夜利率,d
2025-01-13,1.96,SHIBOR1W,Shibor1周利率,d
2025-01-13,1.823,SHIBORON,Shibor隔夜利率,d
2025-01-14,2.162,SHIBOR1W,Shibor1周利率,d
2025-01-14,1.965,SHIBORON,Shibor隔夜利率,d
2025-01-15,2.117,SHIBOR1W,Shibor1周利率,d
2025-01-15,1.832,SHIBORON,Shibor隔夜利率,d
2025-01-16,2.192,SHIBOR1W,Shibor1周利率,d
2025-01-16,1.833,SHIBORON,Shibor隔夜利率,d
2025-01-17,2.039,SHIBOR1W,Shibor1周利率,d
2025-01-17,1.848,SHIBORON,Shibor隔夜利率,d
2025-01-20,1.835,SHIBORON,Shibor隔夜利率,d
2025-01-20,2.013,SHIBOR1W,Shibor1周利率,d
2025-01-21,1.906,SHIBOR1W,Shibor1周利率,d
2025-01-21,1.779,SHIBORON,Shibor隔夜利率,d
2025-01-22,1.78,SHIBORON,Shibor隔夜利率,d
2025-01-22,1.813,SHIBOR1W,Shibor1周利率,d
2025-01-23,1.995,SHIBOR1W,Shibor1周利率,d
2025-01-23,1.764,SHIBORON,Shibor隔夜利率,d
2025-01-24,1.77,SHIBORON,Shibor隔夜利率,d
2025-01-24,2.078,SHIBOR1W,Shibor1周利率,d
2025-01-26,1.669,SHIBORON,Shibor隔夜利率,d
2025-01-26,1.864,SHIBOR1W,Shibor1周利率,d
2025-01-27,1.708,SHIBORON,Shibor隔夜利率,d
2025-01-27,1.715,SHIBOR1W,Shibor1周利率,d
2025-02-05,1.844,SHIBOR1W,Shibor1周利率,d
2025-02-05,1.793,SHIBORON,Shibor隔夜利率,d
2025-02-06,1.792,SHIBORON,Shibor隔夜利率,d
2025-02-06,1.785,SHIBOR1W,Shibor1周利率,d
2025-02-07,1.816,SHIBORON,Shibor隔夜利率,d
2025-02-07,1.732,SHIBOR1W,Shibor1周利率,d
2025-02-08,1.769,SHIBORON,Shibor隔夜利率,d
2025-02-08,1.634,SHIBOR1W,Shibor1周利率,d
2025-02-10,1.729,SHIBOR1W,Shibor1周利率,d
2025-02-10,1.841,SHIBORON,Shibor隔夜利率,d
2025-02-11,1.838,SHIBOR1W,Shibor1周利率,d
2025-02-11,1.919,SHIBORON,Shibor隔夜利率,d
2025-02-12,1.845,SHIBOR1W,Shibor1周利率,d
2025-02-12,1.832,SHIBORON,Shibor隔夜利率,d
2025-02-13,1.827,SHIBORON,Shibor隔夜利率,d
2025-02-13,1.763,SHIBOR1W,Shibor1周利率,d
2025-02-14,1.889,SHIBORON,Shibor隔夜利率,d
2025-02-14,1.894,SHIBOR1W,Shibor1周利率,d
2025-02-17,1.893,SHIBORON,Shibor隔夜利率,d
2025-02-17,1.999,SHIBOR1W,Shibor1周利率,d
2025-02-18,2.209,SHIBOR1W,Shibor1周利率,d
2025-02-18,1.933,SHIBORON,Shibor隔夜利率,d
2025-02-19,1.915,SHIBORON,Shibor隔夜利率,d
2025-02-19,1.934,SHIBOR1W,Shibor1周利率,d
2025-02-20,1.992,SHIBOR1W,Shibor1周利率,d
2025-02-20,1.919,SHIBORON,Shibor隔夜利率,d
2025-02-21,1.931,SHIBORON,Shibor隔夜利率,d
2025-02-21,2.139,SHIBOR1W,Shibor1周利率,d
2025-02-24,1.866,SHIBORON,Shibor隔夜利率,d
2025-02-24,1.941,SHIBOR1W,Shibor1周利率,d
2025-02-25,1.862,SHIBORON,Shibor隔夜利率,d
2025-02-25,2.128,SHIBOR1W,Shibor1周利率,d
2025-02-26,1.875,SHIBORON,Shibor隔夜利率,d
2025-02-26,2.131,SHIBOR1W,Shibor1周利率,d
2025-02-27,1.867,SHIBORON,Shibor隔夜利率,d
2025-02-27,2.24,SHIBOR1W,Shibor1周利率,d
2025-02-28,2.093,SHIBOR1W,Shibor1周利率,d
2025-02-28,1.865,SHIBORON,Shibor隔夜利率,d
