date,open,high,low,close,volume
20160104,3725.8561,3726.2446,3468.9485,3469.0662,115370674.0
20160105,3382.1769,3518.217,3377.2799,3478.7797,162116984.0
20160106,3482.4064,3543.7394,3468.4666,3539.8082,145966144.0
20160107,3481.1499,3481.1499,3284.7374,3294.3839,44102641.0
20160108,3371.871,3418.8508,3237.9307,3361.5632,185959451.0
20160111,3303.1246,3342.4807,3192.4499,3192.4499,174638387.0
20160112,3214.8234,3242.2532,3174.5497,3215.7099,128225796.0
20160113,3240.4838,3257.2953,3155.8787,3155.8787,120666494.0
20160114,3076.6445,3226.6576,3072.0389,3221.5714,134537671.0
20160115,3200.888,3216.7977,3101.0522,3118.7301,124601779.0
20160118,3068.2348,3165.6164,3066.727,3130.7289,101128386.0
20160119,3132.7047,3227.908,3119.2163,3223.1251,127653893.0
20160120,3204.2183,3225.9496,3154.4259,3174.3781,130650504.0
20160121,3136.3841,3202.5381,3081.3454,3081.3454,111189733.0
20160122,3114.895,3132.1708,3053.9581,3113.4626,89951087.0
20160125,3129.0279,3149.3322,3105.1004,3128.886,81540061.0
20160126,3099.5957,3106.5302,2934.6469,2940.5085,126933921.0
20160127,2953.1826,2963.5438,2839.2899,2930.3519,132229366.0
20160128,2909.3341,2941.8866,2841.8442,2853.7562,99222756.0
20160129,2855.5983,2965.3093,2854.3712,2946.0902,113304259.0
20160201,2939.0401,2944.5172,2869.5614,2901.0477,86795342.0
20160202,2901.5284,2972.4258,2901.5119,2961.3337,88601963.0
20160203,2931.2883,2954.71,2909.8982,2948.6386,77389000.0
20160204,2960.3335,2999.2061,2960.2065,2984.7598,91779724.0
20160205,2982.0563,2988.3597,2962.8471,2963.7894,76850808.0
20160215,2888.4277,2961.4926,2886.0183,2946.7066,72919434.0
20160216,2962.1871,3042.0886,2962.1871,3037.0353,112579643.0
20160217,3034.0902,3065.7845,3027.0458,3063.3199,128291607.0
20160218,3079.5272,3093.5129,3049.8407,3053.6985,124401464.0
20160219,3047.9417,3065.9677,3032.6336,3051.585,87338012.0
20160222,3083.9325,3128.2069,3071.3289,3118.8675,140946968.0
20160223,3117.2027,3119.2209,3061.4294,3089.3632,112567391.0
20160224,3077.6062,3109.5454,3055.2511,3109.5454,111782650.0
20160225,3104.4097,3104.4357,2905.4565,2918.7501,157829752.0
20160226,2942.0954,2964.3851,2902.948,2948.0306,106949729.0
20160229,2939.5802,2939.8745,2821.2149,2877.4666,129341020.0
20160301,2881.3353,2950.4361,2863.3228,2930.6937,116045918.0
20160302,2933.9209,3054.7237,2933.1162,3051.3327,175972347.0
20160303,3050.3886,3078.4437,3040.2463,3058.4219,173105744.0
20160304,3047.5371,3101.6556,3032.4235,3093.8895,219172534.0
20160307,3108.9994,3130.9032,3083.5843,3104.8397,132462037.0
20160308,3100.1492,3109.2499,3001.8285,3107.6727,136235742.0
20160309,3045.9238,3072.9156,3020.1335,3071.907,111466245.0
20160310,3056.2104,3074.1602,3012.6908,3013.1457,76072197.0
20160311,2990.2135,3026.4368,2982.1722,3018.2844,73333564.0
20160314,3039.5689,3106.8002,3033.9997,3065.6904,117108655.0
20160315,3061.3427,3077.0846,3028.5781,3074.7796,98311941.0
20160316,3068.8664,3100.3518,3064.5209,3090.0328,124736448.0
20160317,3096.8076,3147.8413,3077.5717,3124.2039,121661777.0
20160318,3136.223,3197.668,3130.102,3171.963,197302564.0
20160321,3203.2929,3267.7751,3198.3608,3249.4372,233269464.0
20160322,3231.6146,3249.6772,3218.7276,3225.7903,161020897.0
20160323,3217.7288,3242.2466,3202.9759,3236.0924,125679286.0
20160324,3211.496,3221.9061,3181.8128,3181.8507,133131122.0
20160325,3176.8101,3204.4423,3174.3179,3197.8169,97395330.0
20160328,3206.9532,3229.6237,3161.8782,3169.7283,103441933.0
20160329,3171.3138,3178.0748,3122.7605,3135.4098,97294747.0
20160330,3161.2886,3216.6755,3161.2886,3216.2753,117802512.0
20160331,3229.1995,3241.9268,3208.6649,3218.0879,121552074.0
20160401,3213.674,3222.6124,3165.8555,3221.8948,118122139.0
20160405,3211.3046,3271.9301,3205.2065,3264.4858,146047772.0
20160406,3250.5215,3267.64,3236.1961,3257.5276,120196305.0
20160407,3266.2883,3270.8202,3208.6443,3209.2902,112409467.0
20160408,3189.8456,3197.7736,3163.305,3185.7258,101005625.0
20160411,3213.507,3251.5717,3213.507,3230.0957,125212709.0
20160412,3227.3673,3232.2642,3198.9027,3218.4497,92869437.0
20160413,3237.8575,3296.5228,3237.8575,3261.3831,195613866.0
20160414,3277.0982,3286.0716,3252.0499,3275.8321,113157327.0
20160415,3279.8566,3282.9846,3261.7299,3272.2053,99807529.0
20160418,3252.6706,3252.6706,3221.6623,3228.4531,97090069.0
20160419,3243.9712,3250.7253,3221.5773,3238.3029,80871440.0
20160420,3244.1419,3248.4218,3107.3693,3181.0264,162207858.0
20160421,3160.7958,3198.557,3150.9395,3160.6033,104752651.0
20160422,3142.5611,3175.3799,3137.9927,3174.9012,77078492.0
20160425,3164.7384,3172.2694,3137.113,3162.0331,67519351.0
20160426,3159.7706,3181.0954,3150.4041,3179.1605,59020734.0
20160427,3181.9305,3188.8264,3162.6914,3165.9156,60004147.0
20160428,3169.3333,3174.7662,3135.6425,3160.5809,69870660.0
20160429,3153.5371,3171.2887,3149.3966,3156.7451,58029776.0
20160503,3159.823,3218.485,3151.4045,3213.5397,98164835.0
20160504,3203.4653,3222.8816,3198.2919,3209.4614,90862408.0
20160505,3204.1686,3217.282,3196.5661,3213.9199,74733681.0
20160506,3213.1358,3216.893,3130.1469,3130.3544,108680240.0
20160509,3115.4301,3115.4301,3055.0057,3065.6154,99230477.0
20160510,3055.2119,3084.7245,3055.1831,3069.1124,68849935.0
20160511,3080.6361,3102.8768,3063.0883,3082.8086,81794258.0
