date,northbound_flow
20230511,622.46
20230512,1505.67
20230515,5114.92
20230516,-3198.4
20230517,4923.23
20230518,-432.43000000000006
20230519,-2970.17
20230522,3394.95
20230523,-4981.23
20230524,-6379.3099999999995
20230525,-5658.200000000001
20230529,566.3799999999999
20230530,1425.99
20230531,-3773.0699999999997
20230601,-3082.3199999999997
20230602,8258.56
20230605,3826.29
20230606,-4703.67
20230607,3090.58
20230608,5553.43
20230609,-2249.7400000000002
20230612,-623.29
20230613,1258.25
20230614,-1520.79
20230615,5437.700000000001
20230616,5228.880000000001
20230619,2038.58
20230620,-193.58999999999992
20230621,-1805.49
20230626,3527.94
20230627,-6946.62
20230628,-745.3699999999999
20230629,-8985.65
20230630,3783.35
20230703,808.8000000000002
20230704,-2564.0299999999997
20230705,530.48
20230706,647.4099999999999
20230707,-6426.15
20230710,82.04999999999995
20230711,1971.1100000000001
20230712,191.64999999999998
20230713,12070.52
20230714,295.6
20230718,-7418.33
20230719,2570.8199999999997
20230720,-5537.83
20230721,6226.259999999999
20230724,-352.41000000000076
20230725,16901.05
20230726,4170.48
20230727,2584.19
20230728,20121.84
20230731,7566.9800000000005
20230801,8980.96
20230802,-4935.0
20230803,2405.38
20230804,544.9499999999998
20230807,343.71000000000004
20230808,-3473.77
20230809,-2942.59
20230810,-1983.6000000000001
20230811,-7600.39
20230814,-72.81999999999971
20230815,-6495.35
20230816,-5039.32
20230817,3475.8500000000004
20230818,-7738.209999999999
20230821,-1857.1799999999994
20230822,-3874.3500000000004
20230823,-7913.36
20230824,5495.74
20230825,-554.5699999999999
20230828,-5705.16
20230829,920.87
20230830,342.4699999999998
20230831,-2583.65
20230904,9382.130000000001
20230905,1591.25
20230906,2561.55
20230907,-3113.27
20230911,-2815.87
20230912,1336.0800000000002
20230913,-7828.51
20230914,-5201.3
20230915,-2405.18
20230918,7409.35
20230919,-699.01
20230920,-1604.25
20230921,-2105.05
20230922,5049.9800000000005
20230925,-4821.75
20230926,-6593.549999999999
20230927,3414.42
20230928,-2587.63
20231009,-6409.259999999999
20231010,-1788.9500000000003
20231011,157.92000000000002
20231012,2856.31
20231013,-4551.389999999999
20231016,-4462.299999999999
20231017,-3179.78
20231018,-3517.0600000000004
20231019,-10265.64
20231020,-120.8900000000001
20231024,-1492.5299999999997
20231025,-1098.53
20231026,2920.3
20231027,6329.23
20231030,-1073.21
20231031,-3826.6800000000003
20231101,-508.8800000000001
20231102,3269.16
20231103,7628.719999999999
20231106,5027.22
20231107,123.5600000000004
20231108,-4069.19
20231109,2662.33
20231110,-2285.16
20231113,-1809.36
20231114,-1711.57
20231115,-1446.5499999999997
20231116,-100.12999999999965
20231117,-1372.04
20231120,-2934.3899999999994
20231121,-1792.19
20231122,-698.5700000000002
20231123,1497.3099999999995
20231124,-1761.4699999999993
20231127,683.77
20231128,981.6200000000001
20231129,-4429.28
20231130,9714.849999999999
20231201,-2008.5400000000004
20231204,-1653.6799999999998
20231205,-5238.97
20231206,5008.66
20231207,547.45
20231208,2507.74
20231211,-472.9200000000001
