date,dxy
2022-12-30,121.4392
2023-01-03,122.0844
2023-01-04,121.5108
2023-01-05,122.0786
2023-01-06,121.0814
2023-01-09,120.1403
2023-01-10,120.234
2023-01-11,120.1445
2023-01-12,119.4108
2023-01-13,119.1422
2023-01-17,119.2186
2023-01-18,119.08
2023-01-19,119.6033
2023-01-20,119.3588
2023-01-23,119.1671
2023-01-24,119.1174
2023-01-25,118.995
2023-01-26,119.0472
2023-01-27,118.9521
2023-01-30,118.9079
2023-01-31,118.991
2023-02-01,118.6396
2023-02-02,118.349
2023-02-03,119.5014
2023-02-06,120.5116
2023-02-07,120.3298
2023-02-08,120.139
2023-02-09,119.9785
2023-02-10,120.1531
2023-02-13,120.0145
2023-02-14,119.9601
2023-02-15,120.4926
2023-02-16,120.5069
2023-02-17,120.6023
2023-02-21,120.678
2023-02-22,120.8969
2023-02-23,121.141
2023-02-24,121.6297
2023-02-27,121.4656
2023-02-28,121.4062
2023-03-01,120.6971
2023-03-02,121.1949
2023-03-03,120.8468
2023-03-06,120.5776
2023-03-07,121.531
2023-03-08,121.5222
2023-03-09,121.5225
2023-03-10,121.2963
2023-03-13,120.9157
2023-03-14,121.052
2023-03-15,122.1149
2023-03-16,121.751
2023-03-17,121.5923
2023-03-20,121.0637
2023-03-21,120.9535
2023-03-22,120.6883
2023-03-23,119.8174
2023-03-24,120.5106
2023-03-27,120.3239
2023-03-28,119.7987
2023-03-29,119.8223
2023-03-30,119.5103
2023-03-31,119.4611
2023-04-03,119.4342
2023-04-04,119.2641
2023-04-05,119.4068
2023-04-06,119.4229
2023-04-07,119.4673
2023-04-10,119.8962
2023-04-11,119.6409
2023-04-12,119.1341
2023-04-13,118.5376
2023-04-14,118.983
2023-04-17,119.3981
2023-04-18,119.2345
2023-04-19,119.4377
2023-04-20,119.2525
2023-04-21,119.4472
2023-04-24,119.3486
2023-04-25,119.7551
2023-04-26,119.4758
2023-04-27,119.5754
2023-04-28,119.376
2023-05-01,119.5845
2023-05-02,119.7514
2023-05-03,119.2773
2023-05-04,119.19
2023-05-05,118.7184
2023-05-08,118.7415
2023-05-09,118.984
2023-05-10,118.7561
2023-05-11,119.1902
2023-05-12,119.5206
2023-05-15,119.3288
2023-05-16,119.3567
2023-05-17,119.7849
2023-05-18,120.2642
2023-05-19,119.9479
2023-05-22,120.2609
2023-05-23,120.4913
2023-05-24,120.6481
2023-05-25,121.0126
2023-05-26,120.8022
2023-05-30,120.7387
2023-05-31,121.1527
2023-06-01,120.2628
2023-06-02,120.2102
2023-06-05,120.2175
2023-06-06,120.1906
2023-06-07,120.0893
2023-06-08,119.8069
2023-06-09,119.6781
2023-06-12,119.889
2023-06-13,119.4641
2023-06-14,119.0646
2023-06-15,118.8447
2023-06-16,118.7168
2023-06-20,119.2458
2023-06-21,119.0438
2023-06-22,119.074
2023-06-23,119.4584
2023-06-26,119.4123
2023-06-27,119.235
2023-06-28,119.6759
2023-06-29,119.8659
2023-06-30,119.7118
2023-07-03,119.5618
2023-07-05,119.6971
2023-07-06,120.1579
2023-07-07,119.4293
2023-07-10,119.3179
2023-07-11,119.0891
2023-07-12,118.0104
2023-07-13,117.5569
2023-07-14,117.4209
2023-07-17,117.5139
2023-07-18,117.4145
2023-07-19,117.745
2023-07-20,117.9615
2023-07-21,118.3072
2023-07-24,118.1812
2023-07-25,118.1978
2023-07-26,118.1097
2023-07-27,118.2497
2023-07-28,118.1429
2023-07-31,118.1738
2023-08-01,118.9156
2023-08-02,119.4622
2023-08-03,119.7123
2023-08-04,119.1684
2023-08-07,119.4297
2023-08-08,119.987
2023-08-09,119.8273
2023-08-10,119.5248
2023-08-11,119.9929
2023-08-14,120.4451
2023-08-15,120.5927
2023-08-16,120.7308
2023-08-17,120.8924
2023-08-18,120.7937
2023-08-21,120.8271
2023-08-22,120.7274
2023-08-23,120.4036
2023-08-24,120.5987
2023-08-25,120.8752
2023-08-28,120.687
2023-08-29,120.6383
2023-08-30,120.187
2023-08-31,120.5882
2023-09-01,121.1011
2023-09-05,121.7785
2023-09-06,122.2029
2023-09-07,122.2903
2023-09-08,122.2933
2023-09-11,121.6757
2023-09-12,121.6301
2023-09-13,121.3981
2023-09-14,121.5744
2023-09-15,121.5361
2023-09-18,121.5414
2023-09-19,121.5175
2023-09-20,121.32
2023-09-21,121.8972
2023-09-22,121.8735
2023-09-25,122.4445
2023-09-26,122.795
2023-09-27,123.2947
2023-09-28,122.8562
2023-09-29,122.6332
2023-10-02,123.3573
2023-10-03,124.0624
2023-10-04,123.8848
2023-10-05,124.1752
2023-10-06,123.6561
2023-10-10,123.2437
2023-10-11,123.092
2023-10-12,123.5087
2023-10-13,123.8788
2023-10-16,123.621
2023-10-17,123.4334
2023-10-18,124.1001
2023-10-19,124.0861
2023-10-20,123.9049
2023-10-23,123.5935
2023-10-24,123.9249
2023-10-25,124.069
2023-10-26,124.285
2023-10-27,123.9145
2023-10-30,123.7044
2023-10-31,124.1229
2023-11-01,124.0801
2023-11-02,123.1995
2023-11-03,122.1006
2023-11-06,121.9692
2023-11-07,122.3882
2023-11-08,122.4055
2023-11-09,122.4434
2023-11-13,122.7389
2023-11-14,121.6865
2023-11-15,121.4035
2023-11-16,121.4953
2023-11-17,121.1657
2023-11-20,120.5653
2023-11-21,120.5182
2023-11-22,120.9757
2023-11-24,120.5285
2023-11-27,120.4893
2023-11-28,119.9174
2023-11-29,120.1246
2023-11-30,120.5421
2023-12-01,120.2542
2023-12-04,120.7669
2023-12-05,121.0731
2023-12-06,120.8348
2023-12-07,120.8938
